Ααρων	Ααρων＆Ἀαρών
Αβδιου	Αβδιας＆Αβδιου
Αβρααμ	Αβρααμ＆Ἀβραάμ
ἀγαλλιάσει	ἀγαλλιάομαι＆ἀγαλλίασις
ἀγαπήσει	ἀγαπάω＆ἀγάπησις
Αγγαιου	Αγγαιας＆Αγγαιος＆Ἁγγαῖος＆Αγγαιου
ᾅδου	ἅδης＆ᾅδης＆αἵδης
Αδουηλ	Αδουηλ＆Ἀδουηλ
Αδωνια	Αδωνια＆Αδωνίας
Αδωνιας	Αδωνιας＆Αδωνίας
Αζαρια	Αζαρια＆Αζαριας＆Ἀζαρίας
Αζαριαν	Αζαρια＆Αζαριας
Αζαριας	Αζαριας＆Ἀζαρίας
Αζαριου	Αζαριας＆Αζαριου
Αἰθιοπίας	Αἰθιοπία＆Αἰθίοψ
αἰνέσει	αἴνεσις＆αἰνέω
ἀκούσατε	ἀδούω＆ἀκούω
ἄκρᾳ	ἄκρα＆ἄκρος
ἄκραν	ἄκρα＆ἄκρος
ἄκρας	ἄκρα＆ἄκρος
ἀκρὶς	ἀκρίς＆ἄκρις
αλληλουια	ἀλληλούι｜α＆αλληλουια
ἀλλοιώσει	ἀλλοιόω＆ἀλλοίωσις
ἅλω	ἅλων＆ἅλως
Αμαδαθου	Αμαδαθος＆Αμαδαθου
Αμαληκίτου	Αμαληκίτης＆Αμαληκίτος
Αμαν	Αμαν＆Ἁμάν
Αμαριου	Αμαριας＆Ἀμαρίας
Αμασιαν	Αμασιαν＆Αμασιας
ἀμαυροῖ	ἀμαυρός＆ἀμαυρόω
αμην	αμην＆ἀμήν
ἄμητος	ἀμητός＆ἄμητος
Αμμανῖται	Αμμανείτης＆Αμμανῖται＆Αμμανίτης
Αμμανίτην	Αμμανίτην＆Αμμανίτης
ἀμφότεροι	ἀμφότεροι＆ἄμφότεροι
Αμως	Αμως＆Ἁμώς
Αναηλ	Αναηλ＆Ἁναηλ
Ανανια	Ανανια＆Ανανιας
Ανανιαν	Ανανιας＆Ἀνανίας
Ανανιηλ	Ανανιηλ＆Ἁνανιηλ
