A	adjective
A.APF	adjective, Acc Plur Fem
A.APFC	adjective, Acc Plur Fem Compar
A.APFS	adjective, Acc Plur Fem Superlative
A.APM	adjective, Acc Plur Masc
A.APMC	adjective, Acc Plur Masc Compar
A.APMS	adjective, Acc Plur Masc Superlative
A.APN	adjective, Acc Plur Neut
A.APNC	adjective, Acc Plur Neut Compar
A.APNS	adjective, Acc Plur Neut Superlative
A.ASF	adjective, Acc Sing Fem
A.ASFC	adjective, Acc Sing Fem Compar
A.ASFS	adjective, Acc Sing Fem Superlative
A.ASM	adjective, Acc Sing Masc
A.ASMC	adjective, Acc Sing Masc Compar
A.ASMS	adjective, Acc Sing Masc Superlative
A.ASN	adjective, Acc Sing Neut
A.ASNC	adjective, Acc Sing Neut Compar
A.ASNS	adjective, Acc Sing Neut Superlative
A.B	adjective, 
A.D	adjective, Dat
A.DP	adjective, Dat Plur
A.DPF	adjective, Dat Plur Fem
A.DPFS	adjective, Dat Plur Fem Superlative
A.DPM	adjective, Dat Plur Masc
A.DPMC	adjective, Dat Plur Masc Compar
A.DPMS	adjective, Dat Plur Masc Superlative
A.DPN	adjective, Dat Plur Neut
A.DPNS	adjective, Dat Plur Neut Superlative
A.DS	adjective, Dat Sing
A.DSF	adjective, Dat Sing Fem
A.DSFC	adjective, Dat Sing Fem Compar
A.DSFS	adjective, Dat Sing Fem Superlative
A.DSM	adjective, Dat Sing Masc
A.DSMC	adjective, Dat Sing Masc Compar
A.DSMS	adjective, Dat Sing Masc Superlative
A.DSN	adjective, Dat Sing Neut
A.DSNS	adjective, Dat Sing Neut Superlative
A.GPF	adjective, Gen Plur Fem
A.GPFC	adjective, Gen Plur Fem Compar
A.GPFS	adjective, Gen Plur Fem Superlative
A.GPM	adjective, Gen Plur Masc
A.GPMC	adjective, Gen Plur Masc Compar
A.GPMS	adjective, Gen Plur Masc Superlative
A.GPN	adjective, Gen Plur Neut
A.GPNC	adjective, Gen Plur Neut Compar
A.GPNS	adjective, Gen Plur Neut Superlative
A.GSF	adjective, Gen Sing Fem
A.GSFC	adjective, Gen Sing Fem Compar
A.GSFS	adjective, Gen Sing Fem Superlative
A.GSM	adjective, Gen Sing Masc
A.GSMC	adjective, Gen Sing Masc Compar
A.GSMS	adjective, Gen Sing Masc Superlative
A.GSN	adjective, Gen Sing Neut
A.GSNC	adjective, Gen Sing Neut Compar
A.GSNS	adjective, Gen Sing Neut Superlative
A.NPF	adjective, Nom Plur Fem
A.NPFC	adjective, Nom Plur Fem Compar
A.NPFS	adjective, Nom Plur Fem Superlative
A.NPM	adjective, Nom Plur Masc
A.NPMC	adjective, Nom Plur Masc Compar
A.NPMS	adjective, Nom Plur Masc Superlative
A.NPN	adjective, Nom Plur Neut
A.NPNC	adjective, Nom Plur Neut Compar
A.NPNS	adjective, Nom Plur Neut Superlative
A.NSF	adjective, Nom Sing Fem
A.NSFC	adjective, Nom Sing Fem Compar
A.NSFS	adjective, Nom Sing Fem Superlative
A.NSM	adjective, Nom Sing Masc
A.NSMC	adjective, Nom Sing Masc Compar
A.NSMS	adjective, Nom Sing Masc Superlative
A.NSN	adjective, Nom Sing Neut
A.NSNC	adjective, Nom Sing Neut Compar
A.NSNS	adjective, Nom Sing Neut Superlative
A.P	adjective, Pres
A.VPM	adjective, Voc Plur Masc
A.VPN	adjective, Voc Plur Neut
A.VPNS	adjective, Voc Plur Neut Superlative
A.VSF	adjective, Voc Sing Fem
A.VSM	adjective, Voc Sing Masc
A.VSMC	adjective, Voc Sing Masc Compar
A.VSMS	adjective, Voc Sing Masc Superlative
A.VSN	adjective, Voc Sing Neut
A1P	adjective, 1st declension, -οσ/-α/-ον pattern endings
A3	adjective, 3rd declension pattern endings
C	conjunction
C+D	conjunction + adverb
C+RD.DPM	conjunction + pronoun, demonstrative, Dat Plur Masc
C+RD.GSM	conjunction + pronoun, demonstrative, Gen Sing Masc
C+RD.NPM	conjunction + pronoun, demonstrative, Nom Plur Masc
C+RP.AS	conjunction + pronoun, relative, Acc Sing
C+RP.DS	conjunction + pronoun, relative, Dat Sing
C+RP.GS	conjunction + pronoun, relative, Gen Sing
C+RP.NS	conjunction + pronoun, relative, Nom Sing
