A	Acc
AAD1S	Aor Act Imperative 1st Sing
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2P	Aor Act Imperative 2nd Plur
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD2S	Aor Act Imperative 2nd Sing
AAD3P	Aor Act Imperative 3rd Plur
AAD3P	Aor Act Imperative 3rd Plur
AAD3P	Aor Act Imperative 3rd Plur
AAD3P	Aor Act Imperative 3rd Plur
AAD3P	Aor Act Imperative 3rd Plur
AAD3P	Aor Act Imperative 3rd Plur
AAD3P	Aor Act Imperative 3rd Plur
AAD3P	Aor Act Imperative 3rd Plur
AAD3S	Aor Act Imperative 3rd Sing
AAD3S	Aor Act Imperative 3rd Sing
AAD3S	Aor Act Imperative 3rd Sing
AAD3S	Aor Act Imperative 3rd Sing
AAD3S	Aor Act Imperative 3rd Sing
AAD3S	Aor Act Imperative 3rd Sing
AAD3S	Aor Act Imperative 3rd Sing
AAI1P	Aor Act Ind 1st Plur
AAI1P	Aor Act Ind 1st Plur
AAI1P	Aor Act Ind 1st Plur
AAI1P	Aor Act Ind 1st Plur
AAI1P	Aor Act Ind 1st Plur
AAI1P	Aor Act Ind 1st Plur
AAI1P	Aor Act Ind 1st Plur
AAI1P	Aor Act Ind 1st Plur
AAI1P	Aor Act Ind 1st Plur
AAI1S	Aor Act Ind 1st Sing
AAI1S	Aor Act Ind 1st Sing
AAI1S	Aor Act Ind 1st Sing
AAI1S	Aor Act Ind 1st Sing
AAI1S	Aor Act Ind 1st Sing
AAI1S	Aor Act Ind 1st Sing
AAI1S	Aor Act Ind 1st Sing
AAI1S	Aor Act Ind 1st Sing
AAI1S	Aor Act Ind 1st Sing
AAI1S	Aor Act Ind 1st Sing
AAI2P	Aor Act Ind 2nd Plur
AAI2P	Aor Act Ind 2nd Plur
AAI2P	Aor Act Ind 2nd Plur
AAI2P	Aor Act Ind 2nd Plur
AAI2P	Aor Act Ind 2nd Plur
AAI2P	Aor Act Ind 2nd Plur
AAI2P	Aor Act Ind 2nd Plur
AAI2S	Aor Act Ind 2nd Sing
AAI2S	Aor Act Ind 2nd Sing
AAI2S	Aor Act Ind 2nd Sing
AAI2S	Aor Act Ind 2nd Sing
AAI2S	Aor Act Ind 2nd Sing
AAI2S	Aor Act Ind 2nd Sing
AAI2S	Aor Act Ind 2nd Sing
AAI2S	Aor Act Ind 2nd Sing
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
AAI3P	Aor Act Ind 3rd Plur
