A	Part of speech: adjective
A1A.APF	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: plural<br />Gender: feminine
A1A.APFC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: plural<br />Gender: feminine<br />Degree: comparative
A1A.APM	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: plural<br />Gender: masculine
A1A.APMC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: plural<br />Gender: masculine<br />Degree: comparative
A1A.APN	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: plural<br />Gender: neuter
A1A.APNC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: plural<br />Gender: neuter<br />Degree: comparative
A1A.ASF	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: singular<br />Gender: feminine
A1A.ASFC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: singular<br />Gender: feminine<br />Degree: comparative
A1A.ASM	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: singular<br />Gender: masculine
A1A.ASMC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: singular<br />Gender: masculine<br />Degree: comparative
A1A.ASN	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: singular<br />Gender: neuter
A1A.ASNC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: accusative<br />Number: singular<br />Gender: neuter<br />Degree: comparative
A1ACNSM	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings
A1A.DPF	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: dative<br />Number: plural<br />Gender: feminine
A1A.DPM	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: dative<br />Number: plural<br />Gender: masculine
A1A.DPMC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: dative<br />Number: plural<br />Gender: masculine<br />Degree: comparative
A1A.DPN	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: dative<br />Number: plural<br />Gender: neuter
A1A.DSF	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: dative<br />Number: singular<br />Gender: feminine
A1A.DSFC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: dative<br />Number: singular<br />Gender: feminine<br />Degree: comparative
A1A.DSM	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: dative<br />Number: singular<br />Gender: masculine
A1A.DSMC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: dative<br />Number: singular<br />Gender: masculine<br />Degree: comparative
A1A.DSN	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: dative<br />Number: singular<br />Gender: neuter
A1A.GPF	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: plural<br />Gender: feminine
A1A.GPM	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: plural<br />Gender: masculine
A1A.GPMC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: plural<br />Gender: masculine<br />Degree: comparative
A1A.GPMS	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: plural<br />Gender: masculine<br />Degree: superlative
A1A.GPN	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: plural<br />Gender: neuter
A1A.GSF	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: singular<br />Gender: feminine
A1A.GSFC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: singular<br />Gender: feminine<br />Degree: comparative
A1A.GSM	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: singular<br />Gender: masculine
A1A.GSMC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: singular<br />Gender: masculine<br />Degree: comparative
A1A.GSN	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: singular<br />Gender: neuter
A1A.GSNC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: genitive<br />Number: singular<br />Gender: neuter<br />Degree: comparative
A1A.NPF	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: plural<br />Gender: feminine
A1A.NPFC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: plural<br />Gender: feminine<br />Degree: comparative
A1A.NPM	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: plural<br />Gender: masculine
A1A.NPMC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: plural<br />Gender: masculine<br />Degree: comparative
A1A.NPN	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: plural<br />Gender: neuter
A1A.NSF	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: singular<br />Gender: feminine
A1A.NSFC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: singular<br />Gender: feminine<br />Degree: comparative
A1A.NSFS	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: singular<br />Gender: feminine<br />Degree: superlative
A1A.NSM	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: singular<br />Gender: masculine
A1A.NSMC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: singular<br />Gender: masculine<br />Degree: comparative
A1A.NSMS	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: singular<br />Gender: masculine<br />Degree: superlative
A1A.NSN	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: singular<br />Gender: neuter
A1A.NSNC	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings<br />Case: nominative<br />Number: singular<br />Gender: neuter<br />Degree: comparative
A1A.P	Part of speech: adjective, 1st declension, -οσ/-η/-ον pattern endings
A1.APF	Part of speech: adjective, 1st declension, -οσ/-α/-ον pattern endings<br />Case: accusative<br />Number: plural<br />Gender: feminine
