a)basi/leutos	《21》
a)/batos	《23》
a)blabh/s	《82》
a)bohqhsi/a	《83》
a)boh/qhtos	《84》
a)bou/leutos	《87》
a)boule/w	《88》
a)bouli/a	《89》
a)broxi/a	《95》
a)/brwtos	《97》
a)gaqo/ths	《107》
a)gaqo/w	《108》
a)gaqo/s	《110》
a)/galma	《116》
a)/gan	《118》
a)gelai=os	《147》
a)gelhdo/n	《149》
a)gerwxi/a	《150》
a)ge/rwxos	《151》
a(giasth/rion	《156》
a(giasti/a	《157》
a)gku/lh	《165》
a)gkw/n	《166》
a(/gnisma	《173》
a)/gnos	《179》
a)/gonos	《182》
a)gorasth/s	《187》
a)grio/ths	《192》
a)grio/w	《193》
a)/grwstis	《199》
a)guia/	《200》
a)/gxw	《207》
a)gwnia/w	《213》
a)gwnisth/s	《215》
a)dama/ntinos	《224》
a)da/mas	《225》
a)da/mastos	《226》
a)/deia1	《242》
a)/deipnos	《243》
a)delfokto/nos	《247》
a)dia/lutos	《261》
a)do/khtos	《279》
a)dolesxi/a	《282》
a)doce/w	《284》
a)doci/a	《285》
a)/docos	《286》
a)dranh/s	《291》
a(dro/s	《292》
a)dunami/a	《295》
a)ergo/s	《316》
a)hdi/a	《352》
a)qa/natos	《358》
a)qew/rhtos	《372》
a)qlhth/s	《376》
a)/qlios	《377》
a)=qlon	《379》
a)qlofo/ros	《380》
a)/qroisma	《385》
a)qro/os	《386》
a)qumi/a	《388》
a)/qutos	《389》
ai)de/omai	《404》
ai)dh/mwn	《405》
ai)doi=os	《408》
ai)qa/lh	《412》
ai)/qrios	《421》
ai)ki/a	《424》
ai)ki/zw	《426》
ai)kismo/s	《427》
ai)/louros	《437》
ai(ma/ssw	《447》
ai(mobo/ros	《448》
ai)neto/s	《458》
ai)po/lion	《465》
ai)po/los	《466》
ai(reto/s	《471》
ai)sxunthro/s	《484》
ai)/thsis	《491》
ai)tia/omai	《493》
a)/kairos	《509》
a)kaki/a2	《511》
a)ka/luptos	《513》
a)ka/rdios	《519》
a)kariai=os	《520》
a)karpi/a	《521》
a)/kaustos	《535》
a)kina/khs	《544》
a)ki/nhtos	《545》
a)ki/s	《546》
a)kleh/s	《552》
a)klew=s	《553》
a)/klhtos	《555》
a)kmai=os	《558》
a)kmh/	《559》
a)/kmwn	《560》
a)koi/mhtos	《562》
a)koinw/nhtos	《563》
a)kolasi/a	《564》
a)ko/lastos	《565》
a)kolouqi/a	《567》
a)ko/louqos	《568》
a)kona/w	《570》
a)konti/zw	《571》
a)kontisth/s	《572》
a)/kosmos	《575》
a)/kra	《588》
a)kribh/s	《597》
a)kro/ama	《601》
a)kroa/omai	《602》
a)kro/asis	《603》
a)kro/drua	《607》
a)kro/polis	《609》
a)/kros	《610》
a)kro/tomos	《611》
a)krwthria/zw	《613》
a)krwth/rion	《614》
a)kti/s	《615》
a)/kuros	《617》
a)kw/lutos	《621》
a)lazoneu/omai	《628》
a)la/stwr	《636》
a)lge/w	《638》
a)lghdw/n	《639》
a)/lghma	《640》
a)/lgos	《642》
a)/leimma	《643》
a)lektruw/n	《645》
a)le/w1	《655》
a(lia/etos	《664》
a)lisge/w	《672》
a)lith/rios	《674》
a)lkh/	《678》
a)llagh/	《681》
a)/llagma	《682》
a)llaxh=	《684》
a)llo/glwssos	《691》
a)/lloqen	《693》
a)lloio/w	《694》
a)lloi/wsis	《695》
a)/llote	《698》
a)llotrio/ths	《700》
a)llotri/wsis	《703》
a(/lma	《712》
a(/lmh	《713》
a(lmuro/s	《715》
a)loge/w	《717》
a)logisti/a	《718》
a)lo/gistos	《719》
a)lohto/s	《724》
a)loifh/	《725》
a)/lsos	《729》
a)lsw/dhs	《730》
a)lfo/s	《738》
a)maqi/a	《756》
a)mauro/s	《786》
a)mauro/w	《787》
a)mbluwpe/w	《793》
a)mbro/sios	《796》
a)me/lgw	《802》
a)merh/s	《809》
a)me/trhtos	《816》
a)mh/xanos	《820》
a)misqi/	《827》
a)mnhmone/w	《850》
a)mnhsti/a	《854》
a)/moiros	《857》
a)/moros	《863》
a)/morfos	《867》
a)mu/qhtos	《878》
a)mfia/zw	《881》
a)mfilafh/s	《887》
a)na/basis	《907》
a)nabasta/zw	《908》
a)nabio/w	《911》
a)nablasta/nw	《912》
a)nabra/ssw	《918》
a)nagnw/sths	《929》
a)nagoreu/w	《930》
a)nagrafh/	《931》
a)nagra/fw	《932》
a)na/dusis	《940》
a)naze/w	《942》
a)naidh/s	《959》
a)nakai/w	《966》
a)nakale/w	《967》
a)nakhru/ssw	《971》
a)nakla/w	《972》
a)nakoino/w	《976》
a)nakomi/zw	《977》
a)nakrou/w	《982》
a)na/lghtos	《986》
a)nale/gw	《987》
a)na/lwsis	《996》
a)nami/gnumi	《1001》
a)na/micis	《1003》
a)namoxleu/w	《1005》
a)/nandros	《1008》
a)nanea/zw	《1009》
a)naneu/w	《1013》
a)nane/wsis	《1014》
a)nachrai/nw	《1020》
a)na/palin	《1024》
a)na/pauma	《1025》
a)napei/rw	《1029》
a)napeta/nnumi	《1030》
a)naphda/w	《1031》
a)napla/ssw	《1034》
a)naplh/rwsis	《1036》
a)napne/w	《1037》
a)napodi/zw	《1038》
a)naptero/w	《1041》
a)narpa/zw	《1048》
a)narrh/gnumi	《1049》
a)naska/ptw	《1051》
a)naste/llw	《1056》
a)nasxi/zw	《1063》
a)natei/nw	《1065》
a)nate/mnw	《1067》
a)natre/xw	《1075》
a)natupo/w	《1078》
a)naxa/skw	《1090》
a)nayuxh/	《1094》
a)ndragaqe/w	《1097》
a)ndragaqi/a	《1098》
a)ndra/podon	《1099》
a)ndrei/a	《1100》
a)ndrei=os	《1101》
a)ndro/gunos	《1106》
a)ndro/w	《1111》
a)negei/rw	《1113》
a)neile/w	《1116》
a)/neimi	《1117》
a)ne/lpistos	《1121》
a)nempo/distos	《1126》
a)nece/legktos	《1127》
a)nepieikh/s	《1130》
a)nereuna/w	《1132》
a)/nhbos	《1142》
a)nh/kestos	《1143》
a)nh/koos	《1144》
a)nhleh/s	《1147》
a)nh/nutos	《1149》
a)nqe/mion	《1151》
a)nqe/w	《1152》
a)/nqinos	《1153》
a)ni/atos	《1166》
a)niero/w	《1167》
a)ni/khtos	《1170》
a)/noiktos	《1188》
a)no/moios	《1193》
a)no/nhtos	《1196》
a)noru/ssw	《1198》
a)ntagwnisth/s	《1206》
a)ntai/rw	《1207》
a)ntakou/w	《1208》
a)ntalla/ssw	《1210》
a)ntanaire/w	《1212》
a)ntani/sthmi	《1214》
a)nterei/dw	《1224》
a)nthxe/w	《1226》
a)ntigra/fw	《1230》
a)ntidi/dwmi	《1231》
a)ntidike/w	《1232》
a)ntikaqi/zomai	《1237》
a)ntikatalla/ssomai	《1239》
a)ntila/mpw	《1244》
a)nti/palos	《1258》
a)ntiparaba/llw	《1259》
a)ntipara/gw	《1260》
a)ntiparata/ssomai	《1262》
a)ntipoie/w	《1266》
a)ntipoleme/w	《1267》
a)ntipoliteu/omai	《1268》
a)ntipra/ssw	《1269》
a)ntiti/qhmi	《1277》
a)ntifilosofe/w	《1278》
a)ntifwne/w	《1279》
a)/ntron	《1283》
a)ntrw/dhs	《1284》
a)nupe/rblhtos	《1286》
a)nupono/htos	《1291》
a)nupo/statos	《1292》
a)nuyo/w	《1293》
a)nu/w	《1294》
a)nw/numos	《1300》
a)ci/a	《1305》
