《21》	『not ruled by a king』
《23》	『untrodden, impassable, inaccessible』『not fordable』『not to be trodden』『pure, chaste』『not ridden』『that hinders walking』
《82》	『without harm』『unharmed, unhurt, secure』『not harming, harmless, innocent』『averting』『preventing harm』『without doing harm』
《84》	『helpless』
《88》	『to be unwilling』
《89》	『want of counsel, thoughtlessness』
《110》	『good』『good, gentle, noble』『good, brave』『good』『good』『good, serviceable』『good』『it is good』『a good』『the good, summum bonum』『the goods of fortune, wealth』『good qualities』『regular』
《116》	『a glory, delight, honour』『mere ornaments』『a pleasing gift』『a statue in honour of a god』『an image』『any statue』『a portrait, picture』
《118》	『very, much, very much』『too, too much』『ne quid nimis』『too much』
《147》	『belonging to a herd, feeding at large』『in herds』『shoals, gregarious』『gregarious animals』『of the herd』『multitude』『common』
《149》	『in herds』『companies』
《151》	『high-minded, lordly』『noble』『haughty, arrogant, insolent』
《165》	『a loop』『noose』『the thong of a javelin』『the javelin』『a bow-string』
《166》	『the bend of the arm, the elbow』『the arm』『any bend』『jutting angle』『the bend』『reach』『angle』
《173》	『a purification, expiation』
《179》	『a willow-like tree』『vitex agnus castus』
《182》	『unborn』『not yet born』『not producing, unfruitful, barren』『without issue, bringing no children to the birth』『not productive of, barren in』『childless』
《187》	『the slave who bought provisions for the house, the purveyor』
《192》	『wildness, savageness』『savageness, fierceness, cruelty』
《193》	『to make wild』『savage』『to grow wild』『savage』『to be so』『to be savage, fierce』
《199》	『a grass that mules fed on』
《200》	『a street, highway』
《207》	『to compress, press tight』『to strangle, throttle, choke』
《213》	『to contend eagerly, struggle』『to be distressed, be in an agony』
《215》	『a rival』『competitor』『race』『a debater, opponent』『one who struggles for a thing』
《224》	『adamantine』『hard as adamant』
《225》	『the untamed, unconquerable』『adamant』『steel』『unalterable』『firm as adamant』『the diamond』『the inflexible』
《226》	『inflexible』『untamed, unbroken』
《242》	『freedom from fear』『an amnesty, indemnity』『indemnity』
《243》	『supperless』
《247》	『murdering a brother』『sister』
《261》	『undissolved, indissoluble』
《279》	『unexpected』『the unexpectedness』
《282》	『garrulity, idle talk』
《284》	『to be held in no esteem, to stand in ill repute』『to hold in no esteem』
《285》	『ill-repute, disgrace』『obscurity』
《286》	『inglorious, disreputable』『obscure, ignoble』
《291》	『inactive, powerless』『intractable』
《292》	『thick』『falling thick』『strong』『great』『large, fine, well-grown』『full-grown, ripe』
《295》	『want of strength』『power, inability, incapacity』『for』『poverty』
《316》	『not-working, idle』『idle』『where people are idle』
《352》	『unpleasantness, nauseousness』『odiousness』『a being ill-pleased, disgust, dislike』
《358》	『undying, immortal』『the Immortals』『of immortal fame』『everlasting』『on which life depended』『the immortals』
《372》	『without observation』
《376》	『a prizefighter』『race』『practised in』
《377》	『gaining the prize』『running for it』『race-』『of discord』『struggling, wretched, miserable』『miserably』『pitiful, wretched』『wretched, sorry』『wretched』
《379》	『the prize of contest』『prizes』『prizes』『prizes』『a contest』『a conflict, struggle』
《380》	『bearing away the prize, victorious』
《385》	『a gathering』
《386》	『in crowds』『masses, crowded together』『in close order』『close together』『taken together』『at once』『as a whole』『assembled』『one』『all by a single vote』『all at once』『multitudinous』
《388》	『want of heart, faintheartedness』
《389》	『not offered』『neglected』『without sacrificing』
《404》	『to be ashamed to do』『feel ashamed』『from a sense of shame』『to stand in awe of, fear, respect』『respect』『to feel regard for』
《405》	『bashful, modest』
《408》	『regarded with reverence, august, venerable』『deserving respect, tender』『shamefaced, reverent』『reverently』
《412》	『soot』
《421》	『clear, bright, fair』
《424》	『injurious treatment, an affront, outrage』『for assault』
《426》	『to treat injuriously, to plague, torment』『to be tormented』
《437》	『a cat』
《447》	『to make bloody stain with blood』『to smite so as to make bloody』『to welter in blood, be slain』
《448》	『blood-sucking, greedy of blood』
