21	not ruled by a king
23	untrodden,<br>impassable
82	without harm
84	helpless
88	to be unwilling
89	want of counsel,<br>thoughtlessness
110	good
116	a glory,<br>delight
118	very,<br>much
147	belonging to a herd,<br>feeding at large
149	in herds
151	high-minded,<br>lordly
165	a loop
166	the bend of the arm,<br>the elbow
173	a purification,<br>expiation
179	a willow-like tree
182	unborn
187	the slave who bought provisions for the house,<br>the purveyor
192	wildness,<br>savageness
193	to make wild
199	a grass that mules fed on
200	a street,<br>highway
207	to compress,<br>press tight
213	to contend eagerly,<br>struggle
215	a rival
224	adamantine
225	the untamed,<br>unconquerable
226	inflexible
242	freedom from fear
243	supperless
247	murdering a brother
261	undissolved,<br>indissoluble
279	unexpected
282	garrulity,<br>idle talk
284	to be held in no esteem,<br>to stand in ill repute
285	ill-repute,<br>disgrace
286	inglorious,<br>disreputable
291	inactive,<br>powerless
292	thick
295	want of strength
316	not-working,<br>idle
352	unpleasantness,<br>nauseousness
358	undying,<br>immortal
372	without observation
376	a prizefighter
377	gaining the prize
379	the prize of contest
380	bearing away the prize,<br>victorious
385	a gathering
386	in crowds
388	want of heart,<br>faintheartedness
389	not offered
404	to be ashamed to do
405	bashful,<br>modest
408	regarded with reverence,<br>august
412	soot
421	clear,<br>bright
424	injurious treatment,<br>an affront
426	to treat injuriously,<br>to plague
437	a cat
447	to make bloody stain with blood
448	blood-sucking,<br>greedy of blood
458	praiseworthy
465	a herd of goats
466	a goatherd
471	that may be taken
491	a request,<br>demand
493	to charge,<br>accuse
509	ill-timed,<br>unseasonable
511	guilelessness
513	uncovered,<br>unveiled
519	wanting the heart
520	momentary,<br>brief
521	unfruitfulness,<br>barrenness
535	unburnt
544	a short straight sword
545	unmoved,<br>motionless
546	a point,<br>the barb
552	without fame,<br>inglorious
555	uncalled,<br>unbidden
558	in full bloom,<br>at the prime
559	a point,<br>edge
560	a thunderbolt
562	sleepless
563	not shared with
564	licentiousness,<br>intemperance
565	licentious,<br>intemperate
567	a following,<br>train
568	following,<br>attending on
570	to sharpen,<br>whet
