《83》	「helplessness,」
《87》	「ill-advised, inconsiderate.」
《95》	「want of rain, drought,」「failure of the inundation」
《97》	「uneatable, not good for food,」「not eaten,」「not eaten」「without eating,」
《107》	「goodness,」
《108》	「do good to」「make good,」
《150》	「arrogance」「high-heartedness」「revelry」「feats of mastery」
《156》	「holy place, sanctuary,」
《427》	「discomfort」「wrench, shock」
《1153》	「of」「like flowers, blooming, fresh,」「vegetable」「animal」「flavoured with flowers,」「of lilies,」「flowered, bright-coloured,」「gay-coloured dresses」「in motley,」
《1283》	「cave,」「inner chamber, closet,」
《1379》	「unacquainted with goodness, foolish,」
《1392》	「unlamented,」
《1396》	「not diawn hither and thither, not distracted」「hindered,」「freedom from distractions,」「guarantee against annoyance」「not able to be roused by」「uninterrupted, free from digressions,」「the fact of」「not passing from hand to hand,」「continually,」
《1721》	「obsequiousness,」「superstitions,」
《3423》	「penetrate」
《4816》	「dream,」
《4869》	「sudden」
《4913》	「visitation,」
《4944》	「marching out, expedition,」「journey」
《4962》	「backwards,」
《5424》	「serve, work for hire,」「canvass, intrigue for office,」「compete with,」「indulge in petty intrigue,」
《11875》	「lookout-place, watchtower」「observatory」「look-out, watch」
《12051》	「stavesacre, Delphinium Staphisagria」「staphis」
《12101》	「stibium」
《12149》	「encampment」
《12602》	「bars」「poles」
《12821》	「with four surfaces」「sides, squared」「of four feet」
《12945》	「a trireme,」「a galley with three men on each bench, each man rowing one oar, and three oars passing together through the」「Hellenistic Military and Naval Developments,」「a ship-shaped drinking-vessel,」
《13150》	「exceedingly difficult,」
