a(giasti/a	《157》	ritual, service
a)/parxos	《1360》	commander
a)klew=s	《553》	ingloriously
a)panth/	《1346》	meeting with
ai)sxunthro/s	《484》	modest, shamefaced
boi/dion	《2751》	calf
bw=lac	《2838》	clod of earth
cenismo/s	《9412》	entertainment
e(kato/ntarxos	《4140》	leader of a hundred, centurion
e(sperino/s	《5501》	towards evening
e)kdeimato/w	《4162》	to be greatly terrified
e)legmo/s	《4413》	refuting, reproving
e)nexurasmo/s	《4725》	taking in pledge, pledge
eu)/skios	《5690》	well shaded, shadowy
kama/ra	《7108》	vault
kataskhna/w	《7422》	take up one’s quarters, encamp
ko/rion1	《7838》	coriander
kro/mmuon	《7914》	onion
kuno/muia	《7978》	dog fly
likmo/s	《8205》	winnowing fan, winnowing basket
maima/ssw	《8387》	to rush out; to be eager
meidia/w	《8680》	to smile
monofa/gos	《9006》	eating alone, gluttonous
neogno/s	《9254》	newborn
nosseu/w	《9359》	to nest
ou(=per	《9836》	where
palaisth/	《9938》	a palm’s breadth, four inches
parqe/neia	《10145》	maidenhood, virginity
patra/delfos	《10191》	father’s brother, uncle
peri/loipos	《10345》	remaining, surviving
plagio/w	《10494》	to turn sideways
polupla/sios	《10639》	many times over
pro/pulon	《10843》	gateway, entrance
prosedri/a	《10880》	a besieging, blockade; assiduity
ptuxh/	《11069》	panel
qermasi/a	《6214》	warmth, heat
qumw/dhs1	《6336》	passionate; furious, angry; wrathful 
sighro/s	《11769》	silent
skopeu/w	《11873》	to keep watch, to watch closely
summi/sgw	《12310》	to meet
surismo/s	《12539》	hissing; bleating
suskh/nia	《12546》	a dwelling in one tent
texni=tis	《12833》	craftswoman, artisan 
w)/moi	《14112》	woes me
xi/lios	《13861》	a thousand, of thousand
yeka/s	《14033》	drop
