157	ritual,<br>service
1360	commander
553	ingloriously
1346	meeting with
484	modest,<br>shamefaced
2751	calf
2838	clod of earth
9412	entertainment
4140	leader of a hundred,<br>centurion
5501	towards evening
4162	to be greatly terrified
4413	refuting,<br>reproving
4725	taking in pledge,<br>pledge
5690	well shaded,<br>shadowy
7108	vault
7422	take up one’s quarters,<br>encamp
7838	coriander
7914	onion
7978	dog fly
8205	winnowing fan,<br>winnowing basket
8387	to rush out;<br>to be eager
8680	to smile
9006	eating alone,<br>gluttonous
9254	newborn
9359	to nest
9836	where
9938	a palm’s breadth,<br>four inches
10145	maidenhood,<br>virginity
10191	father’s brother,<br>uncle
10345	remaining,<br>surviving
10494	to turn sideways
10639	many times over
10843	gateway,<br>entrance
10880	a besieging;<br>assiduity
11069	panel
6214	warmth,<br>heat
6336	passionate;<br>furious
11769	silent
11873	to keep watch,<br>to watch closely
12310	to meet
12539	hissing;<br>bleating
12546	a dwelling in one tent
12833	craftswoman,<br>artisan 
14112	woes me
13861	a thousand,<br>of thousand
14033	drop
