1	α.1	ah, alas!
2	αʹ	〔M〕
3	ααλαφ	〔NP〕
4	ααρα	〔NP〕
5	ααρων	〔NP〕
6	ααρωνιδης	〔NP〕
7	αβαδια	〔NP〕
8	αβαδιας	〔NP〕
9	αβαδων	〔NP〕
10	αβαιαν	〔NP〕
11	αβαισαν	〔NP〕
12	αβακ	the byssus, fine white linen
13	αβαλ	〔NP〕
14	αβαμα	〔NP〕
15	αβανα	〔NP〕
16	αβαρ	〔NP〕
17	αβαραν	〔NP〕
18	αβαριμ	〔NP〕
19	αβαριν	〔NP〕
20	αβαρκηνιν	he thorn bushes
21	αβασιλευτος	『a)basi/leutos』
22	αβαταζα	〔NP〕
23	αβατος	『a)/batos』
24	αβατοω	untrodden, inaccessible
25	αββα	〔NP〕
26	αβδεδομ	〔NP〕
27	αβδεμελεχ	〔NP〕
28	αβδεναγω	〔NP〕
29	αβδησελμα	〔NP〕
30	αβδι	〔NP〕
31	αβδια	〔NP〕
32	αβδιας	〔NP〕
33	αβδιηλ	〔NP〕
34	αβδιου	〔NP〕
35	αβδων	〔NP〕
36	αβεδ	〔NP〕
37	αβεδδαρα	〔NP〕
38	αβεδδαραμ	〔NP〕
39	αβεδηριν	the words, records
40	αβελ	〔NP〕
41	αβελβαιθαμααχα	〔NP〕
42	αβελμαα	〔NP〕
43	αβελμαιν	〔NP〕
44	αβελμαουλα	〔NP〕
45	αβελμεουλα	〔NP〕
46	αβενεζερ	〔NP〕
47	αβεννεζερ	〔NP〕
48	αβεννερ	〔NP〕
49	αβεννηρ	〔NP〕
50	αβερ	〔NP〕
51	αβεσσα	〔NP〕
52	αβεσσαλωμ	〔NP〕
53	αβι	〔NP〕
54	αβια	〔NP〕
55	αβιαθαρ	〔NP〕
56	αβιασαφ	〔NP〕
57	αβιγαια	〔NP〕
58	αβιγαιαν	〔NP〕
59	αβιγαιας	〔NP〕
60	αβιδα	〔NP〕
61	αβιδαν	〔NP〕
62	αβιεζεκ	〔NP〕
63	αβιεζερ	〔NP〕
64	αβιεζρι	〔NP〕
65	αβιεσδρι	〔NP〕
66	αβιηλ	〔NP〕
67	αβιμεηλ	〔NP〕
68	αβιμελεχ	〔NP〕
69	αβινεεμ	〔NP〕
70	αβιου	〔NP〕
71	αβιουδ	〔NP〕
72	αβιρα	〔NP〕
73	αβιρα.1	the fortified town, the citadel
74	αβιρων	〔NP〕
75	αβισακ	〔NP〕
76	αβισου	〔NP〕
77	αβισουε	〔NP〕
78	αβισουρ	〔NP〕
79	αβιταλ	〔NP〕
80	αβιτωβ	〔NP〕
81	αβιχαιλ	〔NP〕
82	αβλαβης	『a)blabh/s』
83	αβοηθησια	『a)bohqhsi/a』
84	αβοηθητος	『a)boh/qhtos』
85	αβου	〔NP〕
86	αβουβος	〔NP〕
87	αβουλευτως	『a)bou/leutos』
88	αβουλεω	『a)boule/w』
89	αβουλια	『a)bouli/a』
90	αβρα	a favorite slave
91	αβρααμ	〔NP〕
92	αβρααμιτις	〔NP〕
93	αβραμ	〔NP〕
94	αβραμιαιος	「Αβραμιαῖος｜A」
95	αβροχια	『a)broxi/a』
96	αβρωνα	〔NP〕
97	αβρωτος	『a)/brwtos』
98	αβυσσος	abyss
99	αβωμεουλα	〔NP〕
100	αβωρ	〔NP〕
101	αγαβ	〔NP〕
102	αγαβα	〔NP〕
103	αγαγ	〔NP〕
104	αγαθοποιεω	to do good
105	αγαθοποιος	doing good
106	αγαθος	good
107	αγαθοτης	『a)gaqo/ths』
108	αγαθοω	『a)gaqo/w』
109	αγαθυνω	to cheer, make good
110	αγαθως	『a)gaqo/s』
111	αγαθωσυνη	goodness
112	αγαλλιαμα	joy, rejoicing
113	αγαλλιασις	exultation, joyfulness
114	αγαλλιαω	to jump for joy
115	αγαλλιμ	〔NP〕
116	αγαλμα	『a)/galma』
117	αγαμος	unmarried
118	αγαν	『a)/gan』
119	αγανακτεω	to be indignant
120	αγαπαω	to love
121	αγαπεω	greet with affection
122	αγαπη	love
123	αγαπησις	loving
124	αγαπητος	loved (one), beloved
125	αγαρ	〔NP〕
126	αγαραιος	〔NP〕
127	αγαρηνος	〔NP〕
128	αγαρι	〔NP〕
129	αγαριτης	〔NP〕
130	αγαρμι	〔NP〕
131	αγαυριαμα	pride, boastfulness;
132	αγαυριαω	「ἀγαυριάω｜V」
133	αγγαβα	〔NP〕
134	αγγαι	〔NP〕
135	αγγαιας	〔NP〕
136	αγγαιος	〔NP〕
137	αγγαιου	〔NP〕
