1	α.1	ἆ
2	αʹ	αʹ
3	ααλαφ	Ααλαφ
4	ααρα	Ααρα
5	ααρων	Ἀαρών
6	ααρωνιδης	Ἀαρωνίδης
7	αβαδια	Αβαδια
8	αβαδιας	Αβαδιας
9	αβαδων	Αβαδων
10	αβαιαν	Αβαιαν
11	αβαισαν	Αβαισαν
12	αβακ	αβακ
13	αβαλ	Αβαλ
14	αβαμα	Αβαμα
15	αβανα	Αβανα
16	αβαρ	Αβαρ
17	αβαραν	Αβαραν
18	αβαριμ	Αβαριμ
19	αβαριν	Αβαριν
20	αβαρκηνιν	αβαρκηνιν
21	αβασιλευτος	ἀβασίλευτος
22	αβαταζα	Αβαταζα
23	αβατος	ἄβατος
24	αβατοω	ἀβατόω
25	αββα	Ἀββᾶ
26	αβδεδομ	Αβδεδομ
27	αβδεμελεχ	Αβδεμελεχ
28	αβδεναγω	Αβδεναγω
29	αβδησελμα	Αβδησελμα
30	αβδι	Αβδι
31	αβδια	Αβδια
32	αβδιας	Αβδιας
33	αβδιηλ	Αβδιηλ
34	αβδιου	Αβδιου
35	αβδων	Αβδων
36	αβεδ	Αβεδ
37	αβεδδαρα	Αβεδδαρα
38	αβεδδαραμ	Αβεδδαραμ
39	αβεδηριν	αβεδηριν
40	αβελ	Ἄβελ
41	αβελβαιθαμααχα	Αβελβαιθαμααχα
42	αβελμαα	Αβελμαα
43	αβελμαιν	Αβελμαιν
44	αβελμαουλα	Αβελμαουλα
45	αβελμεουλα	Αβελμεουλα
46	αβενεζερ	Αβενεζερ
47	αβεννεζερ	Αβεννεζερ
48	αβεννερ	Αβεννερ
49	αβεννηρ	Αβεννηρ
50	αβερ	Αβερ
51	αβεσσα	Αβεσσα
52	αβεσσαλωμ	Αβεσσαλωμ
53	αβι	Αβι
54	αβια	Ἀβιά
55	αβιαθαρ	Ἀβιάθαρ
56	αβιασαφ	Αβιασαφ
57	αβιγαια	Αβιγαια
58	αβιγαιαν	Αβιγαιαν
59	αβιγαιας	Αβιγαιας
60	αβιδα	Αβιδα
61	αβιδαν	Αβιδαν
62	αβιεζεκ	Αβιεζεκ
63	αβιεζερ	Αβιεζερ
64	αβιεζρι	Αβιεζρι
65	αβιεσδρι	Αβιεσδρι
66	αβιηλ	Αβιηλ
67	αβιμεηλ	Αβιμεηλ
68	αβιμελεχ	Αβιμελεχ
69	αβινεεμ	Αβινεεμ
70	αβιου	Αβιου
71	αβιουδ	Ἀβιούδ
72	αβιρα	Αβιρα
73	αβιρα.1	αβιρα
74	αβιρων	Αβιρων
75	αβισακ	Αβισακ
76	αβισου	Αβισου
77	αβισουε	Αβισουε
78	αβισουρ	Αβισουρ
79	αβιταλ	Αβιταλ
80	αβιτωβ	Αβιτωβ
81	αβιχαιλ	Αβιχαιλ
82	αβλαβης	ἀβλαβής
83	αβοηθησια	ἀβοηθησία
84	αβοηθητος	ἀβοήθητος
85	αβου	Αβου
86	αβουβος	Ἀβούβος
87	αβουλευτως	ἀβουλεύτως
88	αβουλεω	ἀβουλέω
89	αβουλια	ἀβουλία
90	αβρα	ἅβρα
91	αβρααμ	Ἀβραάμ
92	αβρααμιτις	Ἀβρααμίτις
93	αβραμ	Αβραμ
94	αβραμιαιος	Αβραμιαῖος
95	αβροχια	ἀβροχία
96	αβρωνα	Αβρωνα
97	αβρωτος	ἄβρωτος
98	αβυσσος	ἄβυσσος
99	αβωμεουλα	Αβωμεουλα
100	αβωρ	Αβωρ
101	αγαβ	Αγαβ
102	αγαβα	Αγαβα
103	αγαγ	Αγαγ
104	αγαθοποιεω	ἀγαθοποιέω
105	αγαθοποιος	ἀγαθοποιός
106	αγαθος	ἀγαθός
107	αγαθοτης	ἀγαθότης
108	αγαθοω	ἀγαθόω
109	αγαθυνω	ἀγαθύνω
110	αγαθως	ἀγαθῶς
111	αγαθωσυνη	ἀγαθωσύνη
112	αγαλλιαμα	ἀγαλλίαμα
113	αγαλλιασις	ἀγαλλίασις
114	αγαλλιαω	ἀγαλλιάω
115	αγαλλιμ	Αγαλλιμ
116	αγαλμα	ἄγαλμα
117	αγαμος	ἄγαμος
118	αγαν	ἄγαν
119	αγανακτεω	ἀγανακτέω
120	αγαπαω	ἀγαπάω
121	αγαπεω	ἀγαπέω
122	αγαπη	ἀγάπη
123	αγαπησις	ἀγάπησις
124	αγαπητος	ἀγαπητός
125	αγαρ	Ἄγαρ
126	αγαραιος	Αγαραῖος
127	αγαρηνος	Αγαρηνός
128	αγαρι	Αγαρι
129	αγαριτης	Αγαρίτης
130	αγαρμι	Αγαρμι
131	αγαυριαμα	ἀγαυρίαμα
132	αγαυριαω	ἀγαυριάω
133	αγγαβα	Αγγαβα
134	αγγαι	Αγγαι
135	αγγαιας	Αγγαιας
136	αγγαιος	Ἁγγαῖος
137	αγγαιου	Αγγαιου
138	αγγειον	ἀγγεῖον
139	αγγελια	ἀγγελία
140	αγγελος	ἄγγελος
141	αγγι	Αγγι
142	αγγια	Αγγια
143	αγγιθ	Αγγιθ
144	αγγις	Αγγις
145	αγγος	ἄγγος
146	αγεαδδαιρ	Αγεαδδαϊρ
147	αγελαιος	ἀγελαῖος
148	αγελη	ἀγέλη
149	αγεληδον	ἀγεληδόν
150	αγερωχια	ἀγερωχία
151	αγερωχος	ἀγέρωχος
152	αγια	Αγια
153	αγιαζω	ἁγιάζω
154	αγιασμα	ἁγίασμα
155	αγιασμος	ἁγιασμός
156	αγιαστηριον	ἁγιαστήριον
157	αγιαστια	ἁγιαστία
158	αγιν	Αγιν
159	αγιος	ἅγιος
160	αγιοτης	ἁγιότης
161	αγιωσυνη	ἁγιωσύνη
162	αγκαλη	ἀγκάλη
163	αγκαλις	ἀγκαλίς
164	αγκιστρον	ἄγκιστρον
165	αγκυλη	ἀγκύλη
166	αγκων	ἀγκών
167	αγκωνισκος	ἀγκωνίσκος
168	αγλα	Αγλα
169	αγλαθ-σαλισια	Αγλαθ-σαλισια
170	αγλων	Αγλων
171	αγνεια	ἁγνεία
172	αγνιζω	ἁγνίζω
173	αγνισμα	ἅγνισμα
174	αγνισμος	ἁγνισμός
175	αγνοεω	ἀγνοέω
176	αγνοημα	ἀγνόημα
177	αγνοια	ἄγνοια
178	αγνος	ἁγνός
179	αγνος.1	ἄγνος
180	αγνωσια	ἀγνωσία
181	αγνωστος	ἄγνωστος
182	αγονος	ἄγονος
183	αγορα	ἀγορά
184	αγοραζω	ἀγοράζω
185	αγορανομια	ἀγορανομία
186	αγορασμος	ἀγορασμός
187	αγοραστης	ἀγοραστής
188	αγρευω	ἀγρεύω
189	αγριανω	ἀγριάνω
190	αγριομυρικη	ἀγριομυρίκη
191	αγριος	ἄγριος
192	αγριοτης	ἀγριότης
193	αγριοω	ἀγριόω
194	αγριως	ἀγρίως
195	αγροικος	ἄγροικος
196	αγρος	ἀγρός
197	αγρυπνεω	ἀγρυπνέω
198	αγρυπνια	ἀγρυπνία
199	αγρωστις	ἄγρωστις
200	αγυια	ἀγυιά
201	αγχις	Αγχις
202	αγχιστεια	ἀγχιστεία
203	αγχιστευς	ἀγχιστεύς
204	αγχιστευτης	ἀγχιστευτής
205	αγχιστευω	ἀγχιστεύω
206	αγχους	Αγχους
207	αγχω	ἄγχω
208	αγχωχ	Αγχωχ
209	αγω	ἄγω
210	αγωγη	ἀγωγή
