id	book	chapter	fromverse	toverse	data
1	1	1	1	1	<b>LXX:</b> <a href='b1.1.1.LXXM'>1:1</a> // <b>ALXX:</b> <a href='b1.1.1'>1:1</a>
2	1	1	2	2	<b>LXX:</b> <a href='b1.1.2.LXXM'>1:2</a> // <b>ALXX:</b> <a href='b1.1.2'>1:2</a>
3	1	1	3	3	<b>LXX:</b> <a href='b1.1.3.LXXM'>1:3</a> // <b>ALXX:</b> <a href='b1.1.3'>1:3</a>
4	1	1	4	4	<b>LXX:</b> <a href='b1.1.4.LXXM'>1:4</a> // <b>ALXX:</b> <a href='b1.1.4'>1:4</a>
5	1	1	5	5	<b>LXX:</b> <a href='b1.1.5.LXXM'>1:5</a> // <b>ALXX:</b> <a href='b1.1.5'>1:5</a>
6	1	1	6	6	<b>LXX:</b> <a href='b1.1.6.LXXM'>1:6</a> // <b>ALXX:</b> <a href='b1.1.6'>1:6</a>
7	1	1	7	7	<b>LXX:</b> <a href='b1.1.7.LXXM'>1:7</a> // <b>ALXX:</b> <a href='b1.1.7'>1:7</a>
8	1	1	8	8	<b>LXX:</b> <a href='b1.1.8.LXXM'>1:8</a> // <b>ALXX:</b> <a href='b1.1.8'>1:8</a>
9	1	1	9	9	<b>LXX:</b> <a href='b1.1.9.LXXM'>1:9</a> // <b>ALXX:</b> <a href='b1.1.9'>1:9</a>
10	1	1	10	10	<b>LXX:</b> <a href='b1.1.10.LXXM'>1:10</a> // <b>ALXX:</b> <a href='b1.1.10'>1:10</a>
11	1	1	11	11	<b>LXX:</b> <a href='b1.1.11.LXXM'>1:11</a> // <b>ALXX:</b> <a href='b1.1.11'>1:11</a>
12	1	1	12	12	<b>LXX:</b> <a href='b1.1.12.LXXM'>1:12</a> // <b>ALXX:</b> <a href='b1.1.12'>1:12</a>
13	1	1	13	13	<b>LXX:</b> <a href='b1.1.13.LXXM'>1:13</a> // <b>ALXX:</b> <a href='b1.1.13'>1:13</a>
14	1	1	14	14	<b>LXX:</b> <a href='b1.1.14.LXXM'>1:14</a> // <b>ALXX:</b> <a href='b1.1.14'>1:14</a>
15	1	1	15	15	<b>LXX:</b> <a href='b1.1.15.LXXM'>1:15</a> // <b>ALXX:</b> <a href='b1.1.15'>1:15</a>
16	1	1	16	16	<b>LXX:</b> <a href='b1.1.16.LXXM'>1:16</a> // <b>ALXX:</b> <a href='b1.1.16'>1:16</a>
17	1	1	17	17	<b>LXX:</b> <a href='b1.1.17.LXXM'>1:17</a> // <b>ALXX:</b> <a href='b1.1.17'>1:17</a>
18	1	1	18	18	<b>LXX:</b> <a href='b1.1.18.LXXM'>1:18</a> // <b>ALXX:</b> <a href='b1.1.18'>1:18</a>
19	1	1	19	19	<b>LXX:</b> <a href='b1.1.19.LXXM'>1:19</a> // <b>ALXX:</b> <a href='b1.1.19'>1:19</a>
20	1	1	20	20	<b>LXX:</b> <a href='b1.1.20.LXXM'>1:20</a> // <b>ALXX:</b> <a href='b1.1.20'>1:20</a>
21	1	1	21	21	<b>LXX:</b> <a href='b1.1.21.LXXM'>1:21</a> // <b>ALXX:</b> <a href='b1.1.21'>1:21</a>
22	1	1	22	22	<b>LXX:</b> <a href='b1.1.22.LXXM'>1:22</a> // <b>ALXX:</b> <a href='b1.1.22'>1:22</a>
23	1	1	23	23	<b>LXX:</b> <a href='b1.1.23.LXXM'>1:23</a> // <b>ALXX:</b> <a href='b1.1.23'>1:23</a>
24	1	1	24	24	<b>LXX:</b> <a href='b1.1.24.LXXM'>1:24</a> // <b>ALXX:</b> <a href='b1.1.24'>1:24</a>
25	1	1	25	25	<b>LXX:</b> <a href='b1.1.25.LXXM'>1:25</a> // <b>ALXX:</b> <a href='b1.1.25'>1:25</a>
26	1	1	26	26	<b>LXX:</b> <a href='b1.1.26.LXXM'>1:26</a> // <b>ALXX:</b> <a href='b1.1.26'>1:26</a>
27	1	1	27	27	<b>LXX:</b> <a href='b1.1.27.LXXM'>1:27</a> // <b>ALXX:</b> <a href='b1.1.27'>1:27</a>
28	1	1	28	28	<b>LXX:</b> <a href='b1.1.28.LXXM'>1:28</a> // <b>ALXX:</b> <a href='b1.1.28'>1:28</a>
29	1	1	29	29	<b>LXX:</b> <a href='b1.1.29.LXXM'>1:29</a> // <b>ALXX:</b> <a href='b1.1.29'>1:29</a>
30	1	1	30	30	<b>LXX:</b> <a href='b1.1.30.LXXM'>1:30</a> // <b>ALXX:</b> <a href='b1.1.30'>1:30</a>
31	1	1	31	31	<b>LXX:</b> <a href='b1.1.31.LXXM'>1:31</a> // <b>ALXX:</b> <a href='b1.1.31'>1:31</a>
32	1	2	1	1	<b>LXX:</b> <a href='b1.2.1.LXXM'>2:1</a> // <b>ALXX:</b> <a href='b1.2.1'>2:1</a>
33	1	2	2	2	<b>LXX:</b> <a href='b1.2.2.LXXM'>2:2</a> // <b>ALXX:</b> <a href='b1.2.2'>2:2</a>
34	1	2	3	3	<b>LXX:</b> <a href='b1.2.3.LXXM'>2:3</a> // <b>ALXX:</b> <a href='b1.2.3'>2:3</a>
35	1	2	4	4	<b>LXX:</b> <a href='b1.2.4.LXXM'>2:4</a> // <b>ALXX:</b> <a href='b1.2.4'>2:4</a>
36	1	2	5	5	<b>LXX:</b> <a href='b1.2.5.LXXM'>2:5</a> // <b>ALXX:</b> <a href='b1.2.5'>2:5</a>
37	1	2	6	6	<b>LXX:</b> <a href='b1.2.6.LXXM'>2:6</a> // <b>ALXX:</b> <a href='b1.2.6'>2:6</a>
38	1	2	7	7	<b>LXX:</b> <a href='b1.2.7.LXXM'>2:7</a> // <b>ALXX:</b> <a href='b1.2.7'>2:7</a>
39	1	2	8	8	<b>LXX:</b> <a href='b1.2.8.LXXM'>2:8</a> // <b>ALXX:</b> <a href='b1.2.8'>2:8</a>
40	1	2	9	9	<b>LXX:</b> <a href='b1.2.9.LXXM'>2:9</a> // <b>ALXX:</b> <a href='b1.2.9'>2:9</a>
41	1	2	10	10	<b>LXX:</b> <a href='b1.2.10.LXXM'>2:10</a> // <b>ALXX:</b> <a href='b1.2.10'>2:10</a>
42	1	2	11	11	<b>LXX:</b> <a href='b1.2.11.LXXM'>2:11</a> // <b>ALXX:</b> <a href='b1.2.11'>2:11</a>
43	1	2	12	12	<b>LXX:</b> <a href='b1.2.12.LXXM'>2:12</a> // <b>ALXX:</b> <a href='b1.2.12'>2:12</a>
44	1	2	13	13	<b>LXX:</b> <a href='b1.2.13.LXXM'>2:13</a> // <b>ALXX:</b> <a href='b1.2.13'>2:13</a>
45	1	2	14	14	<b>LXX:</b> <a href='b1.2.14.LXXM'>2:14</a> // <b>ALXX:</b> <a href='b1.2.14'>2:14</a>
46	1	2	15	15	<b>LXX:</b> <a href='b1.2.15.LXXM'>2:15</a> // <b>ALXX:</b> <a href='b1.2.15'>2:15</a>
47	1	2	16	16	<b>LXX:</b> <a href='b1.2.16.LXXM'>2:16</a> // <b>ALXX:</b> <a href='b1.2.16'>2:16</a>
48	1	2	17	17	<b>LXX:</b> <a href='b1.2.17.LXXM'>2:17</a> // <b>ALXX:</b> <a href='b1.2.17'>2:17</a>
49	1	2	18	18	<b>LXX:</b> <a href='b1.2.18.LXXM'>2:18</a> // <b>ALXX:</b> <a href='b1.2.18'>2:18</a>
50	1	2	19	19	<b>LXX:</b> <a href='b1.2.19.LXXM'>2:19</a> // <b>ALXX:</b> <a href='b1.2.19'>2:19</a>
51	1	2	20	20	<b>LXX:</b> <a href='b1.2.20.LXXM'>2:20</a> // <b>ALXX:</b> <a href='b1.2.20'>2:20</a>
52	1	2	21	21	<b>LXX:</b> <a href='b1.2.21.LXXM'>2:21</a> // <b>ALXX:</b> <a href='b1.2.21'>2:21</a>
53	1	2	22	22	<b>LXX:</b> <a href='b1.2.22.LXXM'>2:22</a> // <b>ALXX:</b> <a href='b1.2.22'>2:22</a>
54	1	2	23	23	<b>LXX:</b> <a href='b1.2.23.LXXM'>2:23</a> // <b>ALXX:</b> <a href='b1.2.23'>2:23</a>
55	1	2	24	24	<b>LXX:</b> <a href='b1.2.24.LXXM'>2:24</a> // <b>ALXX:</b> <a href='b1.2.24'>2:24</a>
56	1	2	25	25	<b>LXX:</b> <a href='b1.2.25.LXXM'>2:25</a> // <b>ALXX:</b> <a href='b1.2.25'>2:25</a>
57	1	3	1	1	<b>LXX:</b> <a href='b1.3.1.LXXM'>3:1</a> // <b>ALXX:</b> <a href='b1.3.1'>3:1</a>
58	1	3	2	2	<b>LXX:</b> <a href='b1.3.2.LXXM'>3:2</a> // <b>ALXX:</b> <a href='b1.3.2'>3:2</a>
59	1	3	3	3	<b>LXX:</b> <a href='b1.3.3.LXXM'>3:3</a> // <b>ALXX:</b> <a href='b1.3.3'>3:3</a>
60	1	3	4	4	<b>LXX:</b> <a href='b1.3.4.LXXM'>3:4</a> // <b>ALXX:</b> <a href='b1.3.4'>3:4</a>
61	1	3	5	5	<b>LXX:</b> <a href='b1.3.5.LXXM'>3:5</a> // <b>ALXX:</b> <a href='b1.3.5'>3:5</a>
62	1	3	6	6	<b>LXX:</b> <a href='b1.3.6.LXXM'>3:6</a> // <b>ALXX:</b> <a href='b1.3.6'>3:6</a>
63	1	3	7	7	<b>LXX:</b> <a href='b1.3.7.LXXM'>3:7</a> // <b>ALXX:</b> <a href='b1.3.7'>3:7</a>
64	1	3	8	8	<b>LXX:</b> <a href='b1.3.8.LXXM'>3:8</a> // <b>ALXX:</b> <a href='b1.3.8'>3:8</a>
65	1	3	9	9	<b>LXX:</b> <a href='b1.3.9.LXXM'>3:9</a> // <b>ALXX:</b> <a href='b1.3.9'>3:9</a>
66	1	3	10	10	<b>LXX:</b> <a href='b1.3.10.LXXM'>3:10</a> // <b>ALXX:</b> <a href='b1.3.10'>3:10</a>
67	1	3	11	11	<b>LXX:</b> <a href='b1.3.11.LXXM'>3:11</a> // <b>ALXX:</b> <a href='b1.3.11'>3:11</a>
68	1	3	12	12	<b>LXX:</b> <a href='b1.3.12.LXXM'>3:12</a> // <b>ALXX:</b> <a href='b1.3.12'>3:12</a>
69	1	3	13	13	<b>LXX:</b> <a href='b1.3.13.LXXM'>3:13</a> // <b>ALXX:</b> <a href='b1.3.13'>3:13</a>
70	1	3	14	14	<b>LXX:</b> <a href='b1.3.14.LXXM'>3:14</a> // <b>ALXX:</b> <a href='b1.3.14'>3:14</a>
71	1	3	15	15	<b>LXX:</b> <a href='b1.3.15.LXXM'>3:15</a> // <b>ALXX:</b> <a href='b1.3.15'>3:15</a>
72	1	3	16	16	<b>LXX:</b> <a href='b1.3.16.LXXM'>3:16</a> // <b>ALXX:</b> <a href='b1.3.16'>3:16</a>
73	1	3	17	17	<b>LXX:</b> <a href='b1.3.17.LXXM'>3:17</a> // <b>ALXX:</b> <a href='b1.3.17'>3:17</a>
74	1	3	18	18	<b>LXX:</b> <a href='b1.3.18.LXXM'>3:18</a> // <b>ALXX:</b> <a href='b1.3.18'>3:18</a>
75	1	3	19	19	<b>LXX:</b> <a href='b1.3.19.LXXM'>3:19</a> // <b>ALXX:</b> <a href='b1.3.19'>3:19</a>
76	1	3	20	20	<b>LXX:</b> <a href='b1.3.20.LXXM'>3:20</a> // <b>ALXX:</b> <a href='b1.3.20'>3:20</a>
77	1	3	21	21	<b>LXX:</b> <a href='b1.3.21.LXXM'>3:21</a> // <b>ALXX:</b> <a href='b1.3.21'>3:21</a>
78	1	3	22	22	<b>LXX:</b> <a href='b1.3.22.LXXM'>3:22</a> // <b>ALXX:</b> <a href='b1.3.22'>3:22</a>
79	1	3	23	23	<b>LXX:</b> <a href='b1.3.23.LXXM'>3:23</a> // <b>ALXX:</b> <a href='b1.3.23'>3:23</a>
80	1	3	24	24	<b>LXX:</b> <a href='b1.3.24.LXXM'>3:24</a> // <b>ALXX:</b> <a href='b1.3.24'>3:24</a>
81	1	4	1	1	<b>LXX:</b> <a href='b1.4.1.LXXM'>4:1</a> // <b>ALXX:</b> <a href='b1.4.1'>4:1</a>
82	1	4	2	2	<b>LXX:</b> <a href='b1.4.2.LXXM'>4:2</a> // <b>ALXX:</b> <a href='b1.4.2'>4:2</a>
83	1	4	3	3	<b>LXX:</b> <a href='b1.4.3.LXXM'>4:3</a> // <b>ALXX:</b> <a href='b1.4.3'>4:3</a>
84	1	4	4	4	<b>LXX:</b> <a href='b1.4.4.LXXM'>4:4</a> // <b>ALXX:</b> <a href='b1.4.4'>4:4</a>
85	1	4	5	5	<b>LXX:</b> <a href='b1.4.5.LXXM'>4:5</a> // <b>ALXX:</b> <a href='b1.4.5'>4:5</a>
86	1	4	6	6	<b>LXX:</b> <a href='b1.4.6.LXXM'>4:6</a> // <b>ALXX:</b> <a href='b1.4.6'>4:6</a>
87	1	4	7	7	<b>LXX:</b> <a href='b1.4.7.LXXM'>4:7</a> // <b>ALXX:</b> <a href='b1.4.7'>4:7</a>
88	1	4	8	8	<b>LXX:</b> <a href='b1.4.8.LXXM'>4:8</a> // <b>ALXX:</b> <a href='b1.4.8'>4:8</a>
89	1	4	9	9	<b>LXX:</b> <a href='b1.4.9.LXXM'>4:9</a> // <b>ALXX:</b> <a href='b1.4.9'>4:9</a>
90	1	4	10	10	<b>LXX:</b> <a href='b1.4.10.LXXM'>4:10</a> // <b>ALXX:</b> <a href='b1.4.10'>4:10</a>
91	1	4	11	11	<b>LXX:</b> <a href='b1.4.11.LXXM'>4:11</a> // <b>ALXX:</b> <a href='b1.4.11'>4:11</a>
92	1	4	12	12	<b>LXX:</b> <a href='b1.4.12.LXXM'>4:12</a> // <b>ALXX:</b> <a href='b1.4.12'>4:12</a>
93	1	4	13	13	<b>LXX:</b> <a href='b1.4.13.LXXM'>4:13</a> // <b>ALXX:</b> <a href='b1.4.13'>4:13</a>
94	1	4	14	14	<b>LXX:</b> <a href='b1.4.14.LXXM'>4:14</a> // <b>ALXX:</b> <a href='b1.4.14'>4:14</a>
95	1	4	15	15	<b>LXX:</b> <a href='b1.4.15.LXXM'>4:15</a> // <b>ALXX:</b> <a href='b1.4.15'>4:15</a>
96	1	4	16	16	<b>LXX:</b> <a href='b1.4.16.LXXM'>4:16</a> // <b>ALXX:</b> <a href='b1.4.16'>4:16</a>
97	1	4	17	17	<b>LXX:</b> <a href='b1.4.17.LXXM'>4:17</a> // <b>ALXX:</b> <a href='b1.4.17'>4:17</a>
98	1	4	18	18	<b>LXX:</b> <a href='b1.4.18.LXXM'>4:18</a> // <b>ALXX:</b> <a href='b1.4.18'>4:18</a>
99	1	4	19	19	<b>LXX:</b> <a href='b1.4.19.LXXM'>4:19</a> // <b>ALXX:</b> <a href='b1.4.19'>4:19</a>
100	1	4	20	20	<b>LXX:</b> <a href='b1.4.20.LXXM'>4:20</a> // <b>ALXX:</b> <a href='b1.4.20'>4:20</a>
101	1	4	21	21	<b>LXX:</b> <a href='b1.4.21.LXXM'>4:21</a> // <b>ALXX:</b> <a href='b1.4.21'>4:21</a>
102	1	4	22	22	<b>LXX:</b> <a href='b1.4.22.LXXM'>4:22</a> // <b>ALXX:</b> <a href='b1.4.22'>4:22</a>
103	1	4	23	23	<b>LXX:</b> <a href='b1.4.23.LXXM'>4:23</a> // <b>ALXX:</b> <a href='b1.4.23'>4:23</a>
104	1	4	24	24	<b>LXX:</b> <a href='b1.4.24.LXXM'>4:24</a> // <b>ALXX:</b> <a href='b1.4.24'>4:24</a>
105	1	4	25	25	<b>LXX:</b> <a href='b1.4.25.LXXM'>4:25</a> // <b>ALXX:</b> <a href='b1.4.25'>4:25</a>
106	1	4	26	26	<b>LXX:</b> <a href='b1.4.26.LXXM'>4:26</a> // <b>ALXX:</b> <a href='b1.4.26'>4:26</a>
107	1	5	1	1	<b>LXX:</b> <a href='b1.5.1.LXXM'>5:1</a> // <b>ALXX:</b> <a href='b1.5.1'>5:1</a>
108	1	5	2	2	<b>LXX:</b> <a href='b1.5.2.LXXM'>5:2</a> // <b>ALXX:</b> <a href='b1.5.2'>5:2</a>
109	1	5	3	3	<b>LXX:</b> <a href='b1.5.3.LXXM'>5:3</a> // <b>ALXX:</b> <a href='b1.5.3'>5:3</a>
110	1	5	4	4	<b>LXX:</b> <a href='b1.5.4.LXXM'>5:4</a> // <b>ALXX:</b> <a href='b1.5.4'>5:4</a>
111	1	5	5	5	<b>LXX:</b> <a href='b1.5.5.LXXM'>5:5</a> // <b>ALXX:</b> <a href='b1.5.5'>5:5</a>
112	1	5	6	6	<b>LXX:</b> <a href='b1.5.6.LXXM'>5:6</a> // <b>ALXX:</b> <a href='b1.5.6'>5:6</a>
113	1	5	7	7	<b>LXX:</b> <a href='b1.5.7.LXXM'>5:7</a> // <b>ALXX:</b> <a href='b1.5.7'>5:7</a>
114	1	5	8	8	<b>LXX:</b> <a href='b1.5.8.LXXM'>5:8</a> // <b>ALXX:</b> <a href='b1.5.8'>5:8</a>
115	1	5	9	9	<b>LXX:</b> <a href='b1.5.9.LXXM'>5:9</a> // <b>ALXX:</b> <a href='b1.5.9'>5:9</a>
116	1	5	10	10	<b>LXX:</b> <a href='b1.5.10.LXXM'>5:10</a> // <b>ALXX:</b> <a href='b1.5.10'>5:10</a>
117	1	5	11	11	<b>LXX:</b> <a href='b1.5.11.LXXM'>5:11</a> // <b>ALXX:</b> <a href='b1.5.11'>5:11</a>
118	1	5	12	12	<b>LXX:</b> <a href='b1.5.12.LXXM'>5:12</a> // <b>ALXX:</b> <a href='b1.5.12'>5:12</a>
119	1	5	13	13	<b>LXX:</b> <a href='b1.5.13.LXXM'>5:13</a> // <b>ALXX:</b> <a href='b1.5.13'>5:13</a>
120	1	5	14	14	<b>LXX:</b> <a href='b1.5.14.LXXM'>5:14</a> // <b>ALXX:</b> <a href='b1.5.14'>5:14</a>
121	1	5	15	15	<b>LXX:</b> <a href='b1.5.15.LXXM'>5:15</a> // <b>ALXX:</b> <a href='b1.5.15'>5:15</a>
122	1	5	16	16	<b>LXX:</b> <a href='b1.5.16.LXXM'>5:16</a> // <b>ALXX:</b> <a href='b1.5.16'>5:16</a>
123	1	5	17	17	<b>LXX:</b> <a href='b1.5.17.LXXM'>5:17</a> // <b>ALXX:</b> <a href='b1.5.17'>5:17</a>
124	1	5	18	18	<b>LXX:</b> <a href='b1.5.18.LXXM'>5:18</a> // <b>ALXX:</b> <a href='b1.5.18'>5:18</a>
125	1	5	19	19	<b>LXX:</b> <a href='b1.5.19.LXXM'>5:19</a> // <b>ALXX:</b> <a href='b1.5.19'>5:19</a>
126	1	5	20	20	<b>LXX:</b> <a href='b1.5.20.LXXM'>5:20</a> // <b>ALXX:</b> <a href='b1.5.20'>5:20</a>
127	1	5	21	21	<b>LXX:</b> <a href='b1.5.21.LXXM'>5:21</a> // <b>ALXX:</b> <a href='b1.5.21'>5:21</a>
128	1	5	22	22	<b>LXX:</b> <a href='b1.5.22.LXXM'>5:22</a> // <b>ALXX:</b> <a href='b1.5.22'>5:22</a>
129	1	5	23	23	<b>LXX:</b> <a href='b1.5.23.LXXM'>5:23</a> // <b>ALXX:</b> <a href='b1.5.23'>5:23</a>
130	1	5	24	24	<b>LXX:</b> <a href='b1.5.24.LXXM'>5:24</a> // <b>ALXX:</b> <a href='b1.5.24'>5:24</a>
131	1	5	25	25	<b>LXX:</b> <a href='b1.5.25.LXXM'>5:25</a> // <b>ALXX:</b> <a href='b1.5.25'>5:25</a>
132	1	5	26	26	<b>LXX:</b> <a href='b1.5.26.LXXM'>5:26</a> // <b>ALXX:</b> <a href='b1.5.26'>5:26</a>
133	1	5	27	27	<b>LXX:</b> <a href='b1.5.27.LXXM'>5:27</a> // <b>ALXX:</b> <a href='b1.5.27'>5:27</a>
134	1	5	28	28	<b>LXX:</b> <a href='b1.5.28.LXXM'>5:28</a> // <b>ALXX:</b> <a href='b1.5.28'>5:28</a>
135	1	5	29	29	<b>LXX:</b> <a href='b1.5.29.LXXM'>5:29</a> // <b>ALXX:</b> <a href='b1.5.29'>5:29</a>
136	1	5	30	30	<b>LXX:</b> <a href='b1.5.30.LXXM'>5:30</a> // <b>ALXX:</b> <a href='b1.5.30'>5:30</a>
137	1	5	31	31	<b>LXX:</b> <a href='b1.5.31.LXXM'>5:31</a> // <b>ALXX:</b> <a href='b1.5.31'>5:31</a>
138	1	5	32	32	<b>LXX:</b> <a href='b1.5.32.LXXM'>5:32</a> // <b>ALXX:</b> <a href='b1.5.32'>5:32</a>
139	1	6	1	1	<b>LXX:</b> <a href='b1.6.1.LXXM'>6:1</a> // <b>ALXX:</b> <a href='b1.6.1'>6:1</a>
140	1	6	2	2	<b>LXX:</b> <a href='b1.6.2.LXXM'>6:2</a> // <b>ALXX:</b> <a href='b1.6.2'>6:2</a>
141	1	6	3	3	<b>LXX:</b> <a href='b1.6.3.LXXM'>6:3</a> // <b>ALXX:</b> <a href='b1.6.3'>6:3</a>
142	1	6	4	4	<b>LXX:</b> <a href='b1.6.4.LXXM'>6:4</a> // <b>ALXX:</b> <a href='b1.6.4'>6:4</a>
143	1	6	5	5	<b>LXX:</b> <a href='b1.6.5.LXXM'>6:5</a> // <b>ALXX:</b> <a href='b1.6.5'>6:5</a>
144	1	6	6	6	<b>LXX:</b> <a href='b1.6.6.LXXM'>6:6</a> // <b>ALXX:</b> <a href='b1.6.6'>6:6</a>
145	1	6	7	7	<b>LXX:</b> <a href='b1.6.7.LXXM'>6:7</a> // <b>ALXX:</b> <a href='b1.6.7'>6:7</a>
146	1	6	8	8	<b>LXX:</b> <a href='b1.6.8.LXXM'>6:8</a> // <b>ALXX:</b> <a href='b1.6.8'>6:8</a>
147	1	6	9	9	<b>LXX:</b> <a href='b1.6.9.LXXM'>6:9</a> // <b>ALXX:</b> <a href='b1.6.9'>6:9</a>
148	1	6	10	10	<b>LXX:</b> <a href='b1.6.10.LXXM'>6:10</a> // <b>ALXX:</b> <a href='b1.6.10'>6:10</a>
149	1	6	11	11	<b>LXX:</b> <a href='b1.6.11.LXXM'>6:11</a> // <b>ALXX:</b> <a href='b1.6.11'>6:11</a>
150	1	6	12	12	<b>LXX:</b> <a href='b1.6.12.LXXM'>6:12</a> // <b>ALXX:</b> <a href='b1.6.12'>6:12</a>
151	1	6	13	13	<b>LXX:</b> <a href='b1.6.13.LXXM'>6:13</a> // <b>ALXX:</b> <a href='b1.6.13'>6:13</a>
152	1	6	14	14	<b>LXX:</b> <a href='b1.6.14.LXXM'>6:14</a> // <b>ALXX:</b> <a href='b1.6.14'>6:14</a>
153	1	6	15	15	<b>LXX:</b> <a href='b1.6.15.LXXM'>6:15</a> // <b>ALXX:</b> <a href='b1.6.15'>6:15</a>
154	1	6	16	16	<b>LXX:</b> <a href='b1.6.16.LXXM'>6:16</a> // <b>ALXX:</b> <a href='b1.6.16'>6:16</a>
155	1	6	17	17	<b>LXX:</b> <a href='b1.6.17.LXXM'>6:17</a> // <b>ALXX:</b> <a href='b1.6.17'>6:17</a>
156	1	6	18	18	<b>LXX:</b> <a href='b1.6.18.LXXM'>6:18</a> // <b>ALXX:</b> <a href='b1.6.18'>6:18</a>
157	1	6	19	19	<b>LXX:</b> <a href='b1.6.19.LXXM'>6:19</a> // <b>ALXX:</b> <a href='b1.6.19'>6:19</a>
158	1	6	20	20	<b>LXX:</b> <a href='b1.6.20.LXXM'>6:20</a> // <b>ALXX:</b> <a href='b1.6.20'>6:20</a>
159	1	6	21	21	<b>LXX:</b> <a href='b1.6.21.LXXM'>6:21</a> // <b>ALXX:</b> <a href='b1.6.21'>6:21</a>
160	1	6	22	22	<b>LXX:</b> <a href='b1.6.22.LXXM'>6:22</a> // <b>ALXX:</b> <a href='b1.6.22'>6:22</a>
161	1	7	1	1	<b>LXX:</b> <a href='b1.7.1.LXXM'>7:1</a> // <b>ALXX:</b> <a href='b1.7.1'>7:1</a>
162	1	7	2	2	<b>LXX:</b> <a href='b1.7.2.LXXM'>7:2</a> // <b>ALXX:</b> <a href='b1.7.2'>7:2</a>
163	1	7	3	3	<b>LXX:</b> <a href='b1.7.3.LXXM'>7:3</a> // <b>ALXX:</b> <a href='b1.7.3'>7:3</a>
164	1	7	4	4	<b>LXX:</b> <a href='b1.7.4.LXXM'>7:4</a> // <b>ALXX:</b> <a href='b1.7.4'>7:4</a>
165	1	7	5	5	<b>LXX:</b> <a href='b1.7.5.LXXM'>7:5</a> // <b>ALXX:</b> <a href='b1.7.5'>7:5</a>
166	1	7	6	6	<b>LXX:</b> <a href='b1.7.6.LXXM'>7:6</a> // <b>ALXX:</b> <a href='b1.7.6'>7:6</a>
167	1	7	7	7	<b>LXX:</b> <a href='b1.7.7.LXXM'>7:7</a> // <b>ALXX:</b> <a href='b1.7.7'>7:7</a>
168	1	7	8	8	<b>LXX:</b> <a href='b1.7.8.LXXM'>7:8</a> // <b>ALXX:</b> <a href='b1.7.8'>7:8</a>
169	1	7	9	9	<b>LXX:</b> <a href='b1.7.9.LXXM'>7:9</a> // <b>ALXX:</b> <a href='b1.7.9'>7:9</a>
