1	α.1	{"lemma": "ἆ", "pos": "I", "l": "a)="},
2	αʹ	{"lemma": "αʹ", "pos": "M"},
3	ααλαφ	{"lemma": "Ααλαφ", "pos": "Np"},
4	ααρα	{"lemma": "Ααρα", "pos": "Np"},
5	ααρων	{"lemma": "Ἀαρών", "strong": "2", "pos": "Np", "src": "H175", "def": "Aaron"},
6	ααρωνιδης	{"lemma": "Ἀαρωνίδης", "pos": "Np"},
7	αβαδια	{"lemma": "Αβαδια", "pos": "Np"},
8	αβαδιας	{"lemma": "Αβαδιας", "pos": "Np"},
9	αβαδων	{"lemma": "Αβαδων", "pos": "Np"},
10	αβαιαν	{"lemma": "Αβαιαν", "pos": "Np"},
11	αβαισαν	{"lemma": "Αβαισαν", "pos": "Np"},
12	αβακ	{"lemma": "αβακ", "pos": "N"},
13	αβαλ	{"lemma": "Αβαλ", "pos": "Np"},
14	αβαμα	{"lemma": "Αβαμα", "pos": "Np"},
15	αβανα	{"lemma": "Αβανα", "pos": "Np"},
16	αβαρ	{"lemma": "Αβαρ", "pos": "Np"},
17	αβαραν	{"lemma": "Αβαραν", "pos": "Np"},
18	αβαριμ	{"lemma": "Αβαριμ", "pos": "Np"},
19	αβαριν	{"lemma": "Αβαριν", "pos": "Np"},
20	αβαρκηνιν	{"lemma": "αβαρκηνιν", "pos": "N"},
21	αβασιλευτος	{"lemma": "ἀβασίλευτος", "pos": "A", "l": "a)basi/leutos"},
22	αβαταζα	{"lemma": "Αβαταζα", "pos": "Np"},
23	αβατος	{"lemma": "ἄβατος", "pos": "A", "l": "a)/batos"},
24	αβατοω	{"lemma": "ἀβατόω", "pos": "V"},
25	αββα	{"lemma": "Ἀββᾶ", "strong": "5", "pos": "Np", "src": "H2", "def": "Abba", "l": "*)abba="},
26	αβδεδομ	{"lemma": "Αβδεδομ", "pos": "Np"},
27	αβδεμελεχ	{"lemma": "Αβδεμελεχ", "pos": "Np"},
28	αβδεναγω	{"lemma": "Αβδεναγω", "pos": "Np"},
29	αβδησελμα	{"lemma": "Αβδησελμα", "pos": "Np"},
30	αβδι	{"lemma": "Αβδι", "pos": "Np"},
31	αβδια	{"lemma": "Αβδια", "pos": "Np"},
32	αβδιας	{"lemma": "Αβδιας", "pos": "Np"},
33	αβδιηλ	{"lemma": "Αβδιηλ", "pos": "Np"},
34	αβδιου	{"lemma": "Αβδιου", "pos": "Np"},
35	αβδων	{"lemma": "Αβδων", "pos": "Np"},
36	αβεδ	{"lemma": "Αβεδ", "pos": "Np"},
37	αβεδδαρα	{"lemma": "Αβεδδαρα", "pos": "Np"},
38	αβεδδαραμ	{"lemma": "Αβεδδαραμ", "pos": "Np"},
39	αβεδηριν	{"lemma": "αβεδηριν", "pos": "N"},
40	αβελ	{"lemma": "Ἄβελ", "strong": "6", "pos": "Np", "src": "H1893", "def": "Abel"},
41	αβελβαιθαμααχα	{"lemma": "Αβελβαιθαμααχα", "pos": "Np"},
42	αβελμαα	{"lemma": "Αβελμαα", "pos": "Np"},
43	αβελμαιν	{"lemma": "Αβελμαιν", "pos": "Np"},
44	αβελμαουλα	{"lemma": "Αβελμαουλα", "pos": "Np"},
45	αβελμεουλα	{"lemma": "Αβελμεουλα", "pos": "Np"},
46	αβενεζερ	{"lemma": "Αβενεζερ", "pos": "Np"},
47	αβεννεζερ	{"lemma": "Αβεννεζερ", "pos": "Np"},
48	αβεννερ	{"lemma": "Αβεννερ", "pos": "Np"},
49	αβεννηρ	{"lemma": "Αβεννηρ", "pos": "Np"},
50	αβερ	{"lemma": "Αβερ", "pos": "Np"},
51	αβεσσα	{"lemma": "Αβεσσα", "pos": "Np"},
52	αβεσσαλωμ	{"lemma": "Αβεσσαλωμ", "pos": "Np", "def": "Absalom"},
53	αβι	{"lemma": "Αβι", "pos": "Np"},
54	αβια	{"lemma": "Ἀβιά", "strong": "7", "pos": "Np", "src": "H29", "def": "Abijah"},
55	αβιαθαρ	{"lemma": "Ἀβιάθαρ", "strong": "8", "pos": "Np", "src": "H54", "def": "Abiathar"},
56	αβιασαφ	{"lemma": "Αβιασαφ", "pos": "Np"},
57	αβιγαια	{"lemma": "Αβιγαια", "pos": "Np"},
58	αβιγαιαν	{"lemma": "Αβιγαιαν", "pos": "Np"},
59	αβιγαιας	{"lemma": "Αβιγαιας", "pos": "Np"},
60	αβιδα	{"lemma": "Αβιδα", "pos": "Np"},
61	αβιδαν	{"lemma": "Αβιδαν", "pos": "Np"},
62	αβιεζεκ	{"lemma": "Αβιεζεκ", "pos": "Np"},
63	αβιεζερ	{"lemma": "Αβιεζερ", "pos": "Np"},
64	αβιεζρι	{"lemma": "Αβιεζρι", "pos": "Np"},
65	αβιεσδρι	{"lemma": "Αβιεσδρι", "pos": "Np"},
66	αβιηλ	{"lemma": "Αβιηλ", "pos": "Np"},
67	αβιμεηλ	{"lemma": "Αβιμεηλ", "pos": "Np", "def": "Abimael"},
68	αβιμελεχ	{"lemma": "Αβιμελεχ", "pos": "Np", "src": "H40", "def": "Abimelek"},
69	αβινεεμ	{"lemma": "Αβινεεμ", "pos": "Np"},
70	αβιου	{"lemma": "Αβιου", "pos": "Np"},
71	αβιουδ	{"lemma": "Ἀβιούδ", "strong": "10", "pos": "Np", "src": "H31", "def": "Abihud"},
72	αβιρα	{"lemma": "Αβιρα", "pos": "Np", "src": "H28", "def": "Abida"},
73	αβιρα.1	{"lemma": "αβιρα", "pos": "N"},
74	αβιρων	{"lemma": "Αβιρων", "pos": "Np"},
