5	ααρων	{"lemma": "Ἀαρών", ＊"strong": "2", "pos": "Np", "src": "H175", "def": "Aaron"},
25	αββα	{"lemma": "Ἀββᾶ", ＊"strong": "5", "pos": "Np", "src": "H2", "def": "Abba", "l": "*)abba="},
40	αβελ	{"lemma": "Ἄβελ", ＊"strong": "6", "pos": "Np", "src": "H1893", "def": "Abel"},
54	αβια	{"lemma": "Ἀβιά", ＊"strong": "7", "pos": "Np", "src": "H29", "def": "Abijah"},
55	αβιαθαρ	{"lemma": "Ἀβιάθαρ", ＊"strong": "8", "pos": "Np", "src": "H54", "def": "Abiathar"},
71	αβιουδ	{"lemma": "Ἀβιούδ", ＊"strong": "10", "pos": "Np", "src": "H31", "def": "Abihud"},
91	αβρααμ	{"lemma": "Ἀβραάμ", ＊"strong": "11", "pos": "Np", "src": "H85", "def": "Abraham"},
98	αβυσσος	{"lemma": "ἄβυσσος", ＊"strong": "12", "pos": "N", "src": "α, βυθος", "def": "abyss", "l": "a)/bussos"},
104	αγαθοποιεω	{"lemma": "ἀγαθοποιέω", ＊"strong": "15", "pos": "V", "src": "αγαθος, ποιεω", "def": "to do good", "deriv": "αγαθοποιια, αγαθοποιος", "l": "a)gaqopoie/w"},
105	αγαθοποιος	{"lemma": "ἀγαθοποιός", ＊"strong": "17", "pos": "A", "src": "αγαθοποιεω", "def": "doing good", "l": "a)gaqopoio/s"},
106	αγαθος	{"lemma": "ἀγαθός", ＊"strong": "18", "pos": "A", "def": "good", "deriv": "αγαθοεργεω, αγαθοποιεω, αγαθωσυνη, βελτιων, φιλαγαθος", "l": "a)gaqo/s"},
111	αγαθωσυνη	{"lemma": "ἀγαθωσύνη", ＊"strong": "19", "pos": "N", "src": "αγαθος", "def": "goodness", "l": "a)gaqwsu/nh"},
113	αγαλλιασις	{"lemma": "ἀγαλλίασις", ＊"strong": "20", "pos": "N", "src": "αγαλλιαω", "def": "exultation, joyfulness", "l": "a)galli/asis"},
114	αγαλλιαω	{"lemma": "ἀγαλλιάω", ＊"strong": "21", "pos": "V", "src": "αγαν, αλλομαι", "def": "to jump for joy", "deriv": "αγαλλιασις", "l": "a)gallia/w"},
117	αγαμος	{"lemma": "ἄγαμος", ＊"strong": "22", "pos": "A", "src": "α, γαμος", "def": "unmarried", "l": "a)/gamos"},
119	αγανακτεω	{"lemma": "ἀγανακτέω", ＊"strong": "23", "pos": "V", "src": "αγαν, αχθος", "def": "to be indignant", "deriv": "αγανακτησις", "l": "a)ganakte/w"},
120	αγαπαω	{"lemma": "ἀγαπάω", ＊"strong": "25", "pos": "V", "def": "to love", "deriv": "αγαπη, αγαπητος", "l": "a)gapa/w"},
122	αγαπη	{"lemma": "ἀγάπη", ＊"strong": "26", "pos": "N", "src": "αγαπαω", "def": "love", "l": "a)ga/ph"},
124	αγαπητος	{"lemma": "ἀγαπητός", ＊"strong": "27", "pos": "A", "src": "αγαπαω", "def": "loved (one), beloved", "l": "a)gaphto/s"},
125	αγαρ	{"lemma": "Ἄγαρ", ＊"strong": "28", "pos": "Np", "src": "H1904", "def": "Hagar"},
138	αγγειον	{"lemma": "ἀγγεῖον", ＊"strong": "30", "pos": "N", "src": "αγγος", "def": "a container", "l": "a)ggei=on"},
139	αγγελια	{"lemma": "ἀγγελία", ＊"strong": "31", "pos": "N", "src": "αγγελος", "def": "message", "l": "a)ggeli/a"},
140	αγγελος	{"lemma": "ἄγγελος", ＊"strong": "32", "pos": "N", "def": "messenger", "deriv": "αγγελια, αρχαγγελος, ισαγγελος", "l": "a)/ggelos"},
148	αγελη	{"lemma": "ἀγέλη", ＊"strong": "34", "pos": "N", "src": "αγω", "def": "a herd", "l": "a)ge/lh"},
153	αγιαζω	{"lemma": "ἁγιάζω", ＊"strong": "37", "pos": "V", "src": "αγιος", "def": "to hallow", "deriv": "αγιασμος", "l": "a(gi/zw"},
155	αγιασμος	{"lemma": "ἁγιασμός", ＊"strong": "38", "pos": "N", "src": "αγιαζω", "def": "hallowing", "l": "a(giasmo/s"},
