1	I	Interjection
2	M	Indeclinable Number
3	Np	Proper Noun
4	Np	Proper Noun
5	Np	Proper Noun
6	Np	Proper Noun
7	Np	Proper Noun
8	Np	Proper Noun
9	Np	Proper Noun
10	Np	Proper Noun
11	Np	Proper Noun
12	N	Noun
13	Np	Proper Noun
14	Np	Proper Noun
15	Np	Proper Noun
16	Np	Proper Noun
17	Np	Proper Noun
18	Np	Proper Noun
19	Np	Proper Noun
20	N	Noun
21	A	Adjective
22	Np	Proper Noun
23	A	Adjective
24	V	Verbs
25	Np	Proper Noun
26	Np	Proper Noun
27	Np	Proper Noun
28	Np	Proper Noun
29	Np	Proper Noun
30	Np	Proper Noun
31	Np	Proper Noun
32	Np	Proper Noun
33	Np	Proper Noun
34	Np	Proper Noun
35	Np	Proper Noun
36	Np	Proper Noun
37	Np	Proper Noun
38	Np	Proper Noun
39	N	Noun
40	Np	Proper Noun
41	Np	Proper Noun
42	Np	Proper Noun
43	Np	Proper Noun
44	Np	Proper Noun
45	Np	Proper Noun
46	Np	Proper Noun
47	Np	Proper Noun
48	Np	Proper Noun
49	Np	Proper Noun
50	Np	Proper Noun
51	Np	Proper Noun
52	Np	Proper Noun
53	Np	Proper Noun
54	Np	Proper Noun
55	Np	Proper Noun
56	Np	Proper Noun
57	Np	Proper Noun
58	Np	Proper Noun
59	Np	Proper Noun
60	Np	Proper Noun
61	Np	Proper Noun
62	Np	Proper Noun
63	Np	Proper Noun
64	Np	Proper Noun
65	Np	Proper Noun
66	Np	Proper Noun
67	Np	Proper Noun
68	Np	Proper Noun
69	Np	Proper Noun
70	Np	Proper Noun
71	Np	Proper Noun
72	Np	Proper Noun
73	N	Noun
74	Np	Proper Noun
75	Np	Proper Noun
76	Np	Proper Noun
77	Np	Proper Noun
78	Np	Proper Noun
79	Np	Proper Noun
80	Np	Proper Noun
81	Np	Proper Noun
82	A	Adjective
83	N	Noun
84	A	Adjective
85	Np	Proper Noun
86	Np	Proper Noun
87	D	Adverb
88	V	Verbs
89	N	Noun
90	N｜A	Noun｜Adjective
91	Np	Proper Noun
92	Np	Proper Noun
93	Np	Proper Noun
94	A	Adjective
95	N	Noun
96	Np	Proper Noun
97	A	Adjective
98	N	Noun
99	Np	Proper Noun
100	Np	Proper Noun
101	Np	Proper Noun
102	Np	Proper Noun
103	Np	Proper Noun
104	V	Verbs
105	A	Adjective
106	A	Adjective
107	N	Noun
108	V	Verbs
109	V	Verbs
110	D	Adverb
111	N	Noun
112	N	Noun
113	N	Noun
114	V	Verbs
115	Np	Proper Noun
116	N	Noun
117	A	Adjective
118	D	Adverb
119	V	Verbs
120	V	Verbs
121	V	Verbs
122	N	Noun
123	N	Noun
124	A	Adjective
125	Np	Proper Noun
126	Np	Proper Noun
127	Np	Proper Noun
128	Np	Proper Noun
129	Np	Proper Noun
130	Np	Proper Noun
131	N	Noun
132	V	Verbs
133	Np	Proper Noun
134	Np	Proper Noun
135	Np	Proper Noun
136	Np	Proper Noun
137	Np	Proper Noun
138	N	Noun
139	N	Noun
140	N	Noun
141	Np	Proper Noun
142	Np	Proper Noun
143	Np	Proper Noun
144	Np	Proper Noun
145	N	Noun
146	Np	Proper Noun
147	A	Adjective
148	N	Noun
149	D	Adverb
150	N	Noun
151	A	Adjective
152	Np	Proper Noun
153	V	Verbs
154	N	Noun
155	N	Noun
156	N	Noun
157	N	Noun
158	Np	Proper Noun
159	A｜N	Adjective｜Noun
160	N	Noun
161	N｜A	Noun｜Adjective
162	N	Noun
163	N	Noun
164	N	Noun
165	N	Noun
166	N	Noun
167	N	Noun
168	Np	Proper Noun
169	Np	Proper Noun
170	Np	Proper Noun
171	N	Noun
172	V	Verbs
173	N	Noun
174	N	Noun
175	V	Verbs
176	N	Noun
177	N	Noun
178	A	Adjective
179	N	Noun
180	N	Noun
181	A	Adjective
182	A｜N	Adjective｜Noun
183	N	Noun
184	V	Verbs
185	N	Noun
186	N	Noun
187	N	Noun
188	V	Verbs
189	V	Verbs
190	N	Noun
191	A	Adjective
192	N	Noun
193	V	Verbs
194	D	Adverb
195	A	Adjective
196	N	Noun
197	V	Verbs
198	N	Noun
199	N	Noun
200	N	Noun
201	Np	Proper Noun
202	N	Noun
203	N	Noun
204	N	Noun
205	V	Verbs
206	Np	Proper Noun
207	V	Verbs
208	Np	Proper Noun
209	V	Verbs
210	N	Noun
211	N	Noun
212	N	Noun
213	V	Verbs
214	V	Verbs
215	N	Noun
216	Np	Proper Noun
217	Np	Proper Noun
