1	α.1	【I】
2	αʹ	【M】
3	ααλαφ	【Np】
4	ααρα	【Np】
5	ααρων	【Np】
6	ααρωνιδης	【Np】
7	αβαδια	【Np】
8	αβαδιας	【Np】
9	αβαδων	【Np】
10	αβαιαν	【Np】
11	αβαισαν	【Np】
12	αβακ	【N】
13	αβαλ	【Np】
14	αβαμα	【Np】
15	αβανα	【Np】
16	αβαρ	【Np】
17	αβαραν	【Np】
18	αβαριμ	【Np】
19	αβαριν	【Np】
20	αβαρκηνιν	【N】
21	αβασιλευτος	【A】
22	αβαταζα	【Np】
23	αβατος	【A】
24	αβατοω	【V】
25	αββα	【Np】
26	αβδεδομ	【Np】
27	αβδεμελεχ	【Np】
28	αβδεναγω	【Np】
29	αβδησελμα	【Np】
30	αβδι	【Np】
31	αβδια	【Np】
32	αβδιας	【Np】
33	αβδιηλ	【Np】
34	αβδιου	【Np】
35	αβδων	【Np】
36	αβεδ	【Np】
37	αβεδδαρα	【Np】
38	αβεδδαραμ	【Np】
39	αβεδηριν	【N】
40	αβελ	【Np】
41	αβελβαιθαμααχα	【Np】
42	αβελμαα	【Np】
43	αβελμαιν	【Np】
44	αβελμαουλα	【Np】
45	αβελμεουλα	【Np】
46	αβενεζερ	【Np】
47	αβεννεζερ	【Np】
48	αβεννερ	【Np】
49	αβεννηρ	【Np】
50	αβερ	【Np】
51	αβεσσα	【Np】
52	αβεσσαλωμ	【Np】
53	αβι	【Np】
54	αβια	【Np】
55	αβιαθαρ	【Np】
56	αβιασαφ	【Np】
57	αβιγαια	【Np】
58	αβιγαιαν	【Np】
59	αβιγαιας	【Np】
60	αβιδα	【Np】
61	αβιδαν	【Np】
62	αβιεζεκ	【Np】
63	αβιεζερ	【Np】
64	αβιεζρι	【Np】
65	αβιεσδρι	【Np】
66	αβιηλ	【Np】
67	αβιμεηλ	【Np】
68	αβιμελεχ	【Np】
69	αβινεεμ	【Np】
70	αβιου	【Np】
71	αβιουδ	【Np】
72	αβιρα	【Np】
73	αβιρα.1	【N】
74	αβιρων	【Np】
75	αβισακ	【Np】
76	αβισου	【Np】
77	αβισουε	【Np】
78	αβισουρ	【Np】
79	αβιταλ	【Np】
80	αβιτωβ	【Np】
81	αβιχαιλ	【Np】
82	αβλαβης	【A】
83	αβοηθησια	【N】
84	αβοηθητος	【A】
85	αβου	【Np】
86	αβουβος	【Np】
87	αβουλευτως	【D】
88	αβουλεω	【V】
89	αβουλια	【N】
90	αβρα	【N A】
91	αβρααμ	【Np】
92	αβρααμιτις	【Np】
93	αβραμ	【Np】
94	αβραμιαιος	【A】
95	αβροχια	【N】
96	αβρωνα	【Np】
97	αβρωτος	【A】
98	αβυσσος	【N】
99	αβωμεουλα	【Np】
100	αβωρ	【Np】
101	αγαβ	【Np】
102	αγαβα	【Np】
103	αγαγ	【Np】
104	αγαθοποιεω	【V】
105	αγαθοποιος	【A】
106	αγαθος	【A】
107	αγαθοτης	【N】
108	αγαθοω	【V】
109	αγαθυνω	【V】
110	αγαθως	【D】
111	αγαθωσυνη	【N】
112	αγαλλιαμα	【N】
113	αγαλλιασις	【N】
114	αγαλλιαω	【V】
115	αγαλλιμ	【Np】
116	αγαλμα	【N】
117	αγαμος	【A】
118	αγαν	【D】
119	αγανακτεω	【V】
120	αγαπαω	【V】
121	αγαπεω	【V】
122	αγαπη	【N】
123	αγαπησις	【N】
124	αγαπητος	【A】
125	αγαρ	【Np】
126	αγαραιος	【Np】
127	αγαρηνος	【Np】
128	αγαρι	【Np】
129	αγαριτης	【Np】
130	αγαρμι	【Np】
131	αγαυριαμα	【N】
132	αγαυριαω	【V】
133	αγγαβα	【Np】
134	αγγαι	【Np】
135	αγγαιας	【Np】
136	αγγαιος	【Np】
137	αγγαιου	【Np】
138	αγγειον	【N】
139	αγγελια	【N】
140	αγγελος	【N】
141	αγγι	【Np】
142	αγγια	【Np】
143	αγγιθ	【Np】
144	αγγις	【Np】
145	αγγος	【N】
146	αγεαδδαιρ	【Np】
147	αγελαιος	【A】
148	αγελη	【N】
149	αγεληδον	【D】
150	αγερωχια	【N】
151	αγερωχος	【A】
152	αγια	【Np】
153	αγιαζω	【V】
154	αγιασμα	【N】
155	αγιασμος	【N】
156	αγιαστηριον	【N】
157	αγιαστια	【N】
158	αγιν	【Np】
159	αγιος	【A N】
160	αγιοτης	【N】
161	αγιωσυνη	【N A】
162	αγκαλη	【N】
163	αγκαλις	【N】
164	αγκιστρον	【N】
165	αγκυλη	【N】
166	αγκων	【N】
167	αγκωνισκος	【N】
168	αγλα	【Np】
169	αγλαθ-σαλισια	【Np】
170	αγλων	【Np】
171	αγνεια	【N】
172	αγνιζω	【V】
173	αγνισμα	【N】
174	αγνισμος	【N】
175	αγνοεω	【V】
176	αγνοημα	【N】
177	αγνοια	【N】
178	αγνος	【A】
179	αγνος.1	【N】
180	αγνωσια	【N】
181	αγνωστος	【A】
182	αγονος	【A N】
183	αγορα	【N】
184	αγοραζω	【V】
185	αγορανομια	【N】
186	αγορασμος	【N】
187	αγοραστης	【N】
188	αγρευω	【V】
189	αγριανω	【V】
190	αγριομυρικη	【N】
191	αγριος	【A】
192	αγριοτης	【N】
193	αγριοω	【V】
194	αγριως	【D】
195	αγροικος	【A】
196	αγρος	【N】
197	αγρυπνεω	【V】
198	αγρυπνια	【N】
199	αγρωστις	【N】
200	αγυια	【N】
201	αγχις	【Np】
202	αγχιστεια	【N】
203	αγχιστευς	【N】
204	αγχιστευτης	【N】
205	αγχιστευω	【V】
206	αγχους	【Np】
207	αγχω	【V】
208	αγχωχ	【Np】
209	αγω	【V】
210	αγωγη	【N】
211	αγων	【N】
212	αγωνια	【N】
213	αγωνιαω	【V】
214	αγωνιζομαι	【V】
215	αγωνιστης	【N】
216	αδα	【Np】
217	αδαδ	【Np】
218	αδαδα	【Np】
219	αδαι	【Np】
220	αδαια	【Np】
221	αδαιας	【Np】
222	αδαμ	【Np】
223	αδαμα	【Np】
224	αδαμαντινος	【A】
225	αδαμας	【N】
226	αδαμαστος	【A】
227	αδαμι	【Np】
228	αδαν	【Np】
229	αδαρ	【Np】
230	αδαρι	【Np】
231	αδασα	【Np】
232	αδασαι	【Np】
233	αδασαν	【Np】
234	αδδαι	【Np】
235	αδδαιον	【Np】
236	αδδαιω	【Np】
237	αδδαμιν	【Np】
238	αδδαρα	【Np】
239	αδδι	【Np】
240	αδδους	【Np】
241	αδδω	【Np】
242	αδεια	【N】
243	αδειπνος	【A】
244	αδελφη	【N】
245	αδελφιδος	【N】
246	αδελφικως	【D】
247	αδελφοκτονος	【A】
248	αδελφοπρεπως	【D】
249	αδελφος	【N】
250	αδελφοτης	【N A】
251	αδενικαμ	【Np】
252	αδερ	【Np】
253	αδεως	【D】
254	αδηλος	【A】
255	αδης	【N】
256	αδι	【Np】
257	αδια	【Np】
258	αδιαθαιμ	【Np】
259	αδιακριτος	【A】
260	αδιαλειπτως	【D】
261	αδιαλυτος	【A】
262	αδιαπτωτος	【A】
263	αδιαστροφος	【A】
264	αδιατρεπτος	【A】
265	αδιδ	【Np】
266	αδιδα	【Np】
267	αδιεξεταστος	【A】
268	αδιηλ	【Np】
269	αδικεω	【V】
270	αδικημα	【N】
271	αδικια	【N】
272	αδικος	【A】
273	αδικως	【D】
274	αδιν	【Np】
275	αδινα	【Np】
276	αδινων	【Np】
277	αδλι	【Np】
278	αδνας	【Np】
279	αδοκητος	【A】
280	αδοκιμος	【A】
281	αδολεσχεω	【V】
282	αδολεσχια	【N】
283	αδολως	【D】
284	αδοξεω	【V】
285	αδοξια	【N】
286	αδοξος	【A】
287	αδουηλ	【Np】
288	αδρααζαρ	【Np】
289	αδραζαρ	【Np】
290	αδραμελεχ	【Np】
291	αδρανης	【A】
292	αδρος	【A】
293	αδρυνω	【V】
294	αδυναμεω	【V】
295	αδυναμια	【N】
296	αδυνατεω	【V】
297	αδυνατος	【A】
298	αδυναω	【V】
299	αδω	【V】
300	αδων	【N】
301	αδωναι	【Np】
302	αδωναιε	【Np】
303	αδωνια	【Np】
304	αδωνιας	【Np】
305	αδωνιβεζεκ	【Np】
306	αδωνικαμ	【Np】
307	αδωνιραμ	【Np】
308	αδωρα	【Np】
309	αδωραιμ	【Np】
310	αδωρηεμ	【N】
311	αει	【D】
312	αεμε	【Np】
313	αεναος	【A】
314	αενδωρ	【Np】
315	αερ	【Np】
316	αεργος	【A】
317	αερμων	【Np】
318	αετος	【N】
319	αζαβουχ	【Np】
320	αζαηλ	【Np】
321	αζαηλος	【Np】
322	αζαια	【Np】
323	αζακι	【Np】
324	αζανια	【Np】
325	αζανωθ	【Np】
326	αζαραηλ	【Np】
327	αζαρια	【Np】
328	αζαριας	【Np】
329	αζαριον	【Np】
330	αζαριου	【Np】
331	αζαυ	【Np】
332	αζενι	【Np】
333	αζερ	【Np】
334	αζηκα	【Np】
335	αζηρ	【Np】
336	αζητας	【Np】
337	αζιηλ	【Np】
338	αζιν	【Np】
339	αζιφ	【Np】
340	αζμωθ	【Np】
341	αζοβ	【Np】
342	αζουβα	【Np】
343	αζουρ	【Np】
344	αζουρου	【Np】
345	αζυμος	【A】
346	αζωβαι	【Np】
347	αζωρ	【Np】
348	αζωτια	【Np】
349	αζωτιος	【Np】
350	αζωτιστι	【Np】
351	αζωτος	【Np】
352	αηδια	【N】
353	αηδις	【Np】
354	αηρ	【N A】
355	αθαθ	【Np】
356	αθαια	【Np】
357	αθανασια	【N】
358	αθανατος	【A】
359	αθανι	【Np】
360	αθανιν	【Np】
361	αθαριν	【Np】
362	αθελια	【Np】
363	αθεμιτος	【A】
364	αθερ	【Np】
365	αθερσαθα	【Np】
366	αθεσια	【N A】
367	αθεσμος	【A】
368	αθεσμως	【D】
369	αθετεω	【V】
370	αθετημα	【A N】
371	αθετησις	【N】
372	αθεωρητος	【A】
373	αθηναιος	【Np】
374	αθηνοβιος	【Np】
375	αθιν	【Np】
376	αθλητης	【N】
377	αθλιος	【A】
378	αθλοθετεω	【V】
379	αθλον	【N】
380	αθλοφορος	【A】
381	αθουκιιν	【N】
382	αθουρ	【Np】
383	αθουριας	【Np】
384	αθροιζω	【V】
385	αθροισμα	【N】
386	αθροος	【A】
387	αθυμεω	【V】
388	αθυμια	【N】
389	αθυτος	【A】
390	αθωος	【A】
391	αθωοω	【V】
392	αια	【Np】
393	αιαλων	【Np】
394	αιγγαδοις	【Np】
395	αιγειος	【A】
396	αιγιαλος	【N】
397	αιγιδιον	【N】
398	αιγλα	【Np】
399	αιγυπτια	【】
400	αιγυπτιος	【N A】
401	αιγυπτος	【Np】
402	αιδαδ	【N】
403	αιδαν	【Np】
404	αιδεομαι	【V】
405	αιδημων	【A】
406	αιδιος	【A】
407	αιδιοτης	【N】
408	αιδοιος	【A】
409	αιδως	【N】
410	αιε	【Np】
411	αιζηλ	【Np】
412	αιθαλη	【N】
413	αιθαλιμ	【Np】
414	αιθαμ	【Np】
415	αιθαμιν	【Np】
416	αιθαν	【Np】
417	αιθι	【Np】
418	αιθιηλ	【Np】
419	αιθιοπια	【Np】
420	αιθιοψ	【Np】
421	αιθριος	【A】
422	αιιν	【Np】
423	αικαρεν	【Np】
424	αικια	【N】
425	αικιζομαι	【V】
426	αικιζω	【V】
427	αικισμος	【N A】
428	αιλ	【N】
429	αιλαθ	【Np】
430	αιλαμ	【Np】
431	αιλαμ.1	【N】
432	αιλαμειτης	【Np】
433	αιλαμιτης	【Np】
434	αιλαμμω	【N】
435	αιλευ	【N】
436	αιλιμ	【Np】
437	αιλουρος	【N】
438	αιλους	【Np】
439	αιλωθ	【Np】
440	αιλωμ	【Np】
441	αιλων	【Np】
442	αιμα	【N】
443	αιμαθ	【Np】
444	αιμαν	【Np】
445	αιμανι	【Np】
446	αιμαρεκ	【Np】
447	αιμασσω	【V】
448	αιμοβορος	【A】
449	αιμορροεω	【V】
450	αιμωδιαω	【V】
451	αιν	【Np】
452	αιν.1	【N】
453	αιναγαλιμ	【Np】
454	αινακιμ	【Np】
455	αιναν	【Np】
456	αινγαδιν	【Np】
457	αινεσις	【N】
458	αινετος	【A】
459	αινεω	【V】
460	αινιγμα	【N】
461	αινιγματιστης	【N】
462	αινος	【N】
463	αινων	【Np】
464	αιξ	【N】
465	αιπολιον	【N】
466	αιπολος	【N】
467	αιρεμ	【Np】
468	αιρεσις	【N】
469	αιρετιζω	【V】
470	αιρετις	【N】
471	αιρετος	【A】
472	αιρεω	【V】
473	αιρω	【V】
474	αισαμ	【Np】
475	αισαν	【Np】
476	αισθανομαι	【V】
477	αισθησις	【N】
478	αισθητηριον	【N】
479	αισθητικη	【N】
480	αισιμωθ	【Np】
481	αισχρος	【A】
482	αισχρως	【D】
483	αισχυνη	【N】
484	αισχυντηρος	【A】
485	αισχυνω	【V】
486	αισωρα	【Np】
487	αιταμ	【Np】
488	αιταν	【Np】
489	αιτεω	【V】
490	αιτημα	【N】
491	αιτησις	【N】
492	αιτια	【N】
493	αιτιαομαι	【V】
494	αιτιος	【A】
495	αιτωβ	【Np】
496	αιφνιδιος	【A】
497	αιφνιδιως	【D】
498	αιχιοζα	【Np】
499	αιχμαλωσια	【N】
500	αιχμαλωτευω	【V】
501	αιχμαλωτιζω	【V】
502	αιχμαλωτις	【N A】
503	αιχμαλωτος	【A】
504	αιων	【N】
505	αιωνιος	【A】
506	ακαβωθ	【Np】
507	ακαθαρσια	【N】
508	ακαθαρτος	【A】
509	ακαιρος	【A】
510	ακαιρως	【D】
511	ακακια	【N】
512	ακακος	【A】
513	ακαλυπτος	【A】
514	ακαλυπτως	【D】
515	ακαν	【N】
516	ακανα	【N】
517	ακανθα	【N】
518	ακανθινος	【A】
519	ακαρδιος	【A】
520	ακαριαιος	【A】
521	ακαρπια	【N】
522	ακαρπος	【A】
523	ακαταγνωστος	【A】
524	ακατακαλυπτος	【A】
525	ακαταλυτος	【A】
526	ακαταμαχητος	【A】
527	ακαταν	【Np】
528	ακαταποτος	【A】
529	ακατασκευαστος	【A】
530	ακαταστασια	【N】
531	ακαταστατεω	【V】
532	ακαταστατος	【A】
533	ακατασχετος	【A】
534	ακατεργαστος	【A】
535	ακαυστος	【A】
536	ακεραιος	【A】
537	ακηδια	【N】
538	ακηδιαζω	【V】
539	ακηδιαω	【V】
540	ακηλιδωτος	【A】
