360.1.1	¶<S「」[「」]|P(S「」|P「」|A「」「」[「」[「」「」]])>
360.1.2	¶<P「」|A「」|C「」|D「」「」><P+「」「」|D(P[「」]「」「」|C「」「」)><P+「」「」|C「」|A「」「」「」[「」]{「」}「」「」「」[「」「」[「」]]>
360.1.3	<A「」「」|C「」「」[「」]|P「」|{「」}|S「」「」[「」]|C「」「」[「」]|{「」}|S「」「」[「」]|C「」「」[「」]>
360.1.4	<C「」「」[「」「」]|P「」|S「」「」><C+「」「」「」[「」「」]|P「」|S「」「」><C+「」「」「」[「」「」]|P「」|S「」「」>
360.1.5	<P「」|D「」「」|A「」「」[「」]><P+「」「」><P「」|D(P[「」]「」「」|C「」)|A「」「」><P+「」「」|A「」「」[「」]|C「」{「」}「」>
360.1.6	<S+「」「」|P「」|A「」「」「」[「」]|A「」{「」}「」><S「」「」[「」]|P「」[「」]><S+「」「」「」[「」]|P「」>
360.1.7	<P「」|C「」「」[「」]|A「」「」|{「」}|C「」「」[「」]|A「」「」><P「」(P「」|C「」)><P+「」「」><P「」|C「」[「」]>
360.1.8	<P「」|A「」「」|A「」「」(P「」|C「」|A「」「」「」[「」[「」「」]])>
360.1.9	<P「」|C「」{「」}「」|A「」「」[「」]><P「」|D「」「」(P「」「」|C「」)>
360.1.10	<P+「」「」|S「」「」><P「」|S「」「」><P+「」「」|S「」><P「」|S「」><P「」|S「」>
360.1.11	<P「」|S「」「」><P「」|D「」|A「」「」{「」}「」><P+「」「」|S「」[「」「」]>
360.1.12	<S「」「」|P「」><S+「」「」「」|P「」><S「」{「」}「」{「」}「」{「」}[「」]「」「」[「」「」]|P「」><P+「」「」|C「」|S「」「」[「」「」]>
360.1.13	<P「」{「」}「」|D「」「」><P「」|D(P「」「」|C「」)><P「」><P「」|A「」「」|D(P「」|C「」)><P+「」「」|A「」「」[「」[「」]]|S「」{「」}「」>
360.1.14	<P「」|C「」><P「」|C「」><P「」|C「」(P[「」]「」|C「」)|A「」「」[「」[「」]]><P+「」「」|A「」「」[「」]>
360.1.15	<P「」{}「」{}「」|A「」「」><P+「」「」|S「」[「」]><A+「」「」「」[「」「」]|P「」>
360.1.16	<A「」「」「」[「」]|S「」|P「」|{}|A「」「」[「」[「」]]|S「」{「」}「」>
360.1.17	<P「」|S「」|A「」「」「」[「」]><P「」|S「」><P「」|S「」><P+「」「」|S「」>
360.1.18	<S「」|P「」|C「」><P「」|S「」[「」]><P+「」「」「」|S「」|C「」><S+「」「」「」[「」「」]|P「」>
360.1.19	<A「」「」|D「」|P「」><S+「」「」|P「」|C「」「」[「」「」]><S+「」「」|P「」|C[「」]「」「」[「」「」]>
360.1.20	<S+「」「」「」[「」「」]|P「」|A「」「」><P+「」「」|S「」[「」]><S+「」「」|P「」|C「」「」[「」「」]>
360.2.1	¶<P「」|C「」|A「」「」><P「」|A「」「」[「」[「」]]><P+「」「」|C(P[「」]「」「」|C「」「」)><P+「」「」|S「」[「」]><P+「」「」>
360.2.2	<A「」[「」{「」}「」]|A「」[「」{「」}「」]|A「」「」|P「」|A「」「」「」|C「」[「」{「」}「」]><A「」「」|P「」「」|A「」「」「」><A+「」「」「」|P「」「」|A「」「」[「」「」[「」]]>
360.2.3	<A「」「」[「」]|S「」|P「」><A+「」「」「」[「」]|P「」|S「」><P「」「」[「」]|S「」「」|A「」「」[「」]><A+「」「」「」[「」]|S「」|P「」><C+「」「」|P「」「」|A「」>
360.2.4	<P「」「」[「」]|S「」「」[「」]><A+「」[「」「」]|A「」|P「」>
360.2.5	<A「」「」[「」]|A「」「」「」[「」「」]|P「」><A+「」「」「」[「」{}「」]|P「」|C「」><A+「」「」「」[「」{「」}「」]|P「」|A「」「」>
360.2.6	<A「」「」[「」]|P「」|S「」><S[「」]「」|P「」「」[「」]>
