lxx.A	<null>	adjective
lxx.A.APF	<null>	adjective, Acc Plur Fem
lxx.A.APFC	<null>	adjective, Acc Plur Fem Compar
lxx.A.APFS	<null>	adjective, Acc Plur Fem Superlative
lxx.A.APM	<null>	adjective, Acc Plur Masc
lxx.A.APMC	<null>	adjective, Acc Plur Masc Compar
lxx.A.APMS	<null>	adjective, Acc Plur Masc Superlative
lxx.A.APN	<null>	adjective, Acc Plur Neut
lxx.A.APNC	<null>	adjective, Acc Plur Neut Compar
lxx.A.APNS	<null>	adjective, Acc Plur Neut Superlative
lxx.A.ASF	<null>	adjective, Acc Sing Fem
lxx.A.ASFC	<null>	adjective, Acc Sing Fem Compar
lxx.A.ASFS	<null>	adjective, Acc Sing Fem Superlative
lxx.A.ASM	<null>	adjective, Acc Sing Masc
lxx.A.ASMC	<null>	adjective, Acc Sing Masc Compar
lxx.A.ASMS	<null>	adjective, Acc Sing Masc Superlative
lxx.A.ASN	<null>	adjective, Acc Sing Neut
lxx.A.ASNC	<null>	adjective, Acc Sing Neut Compar
lxx.A.ASNS	<null>	adjective, Acc Sing Neut Superlative
lxx.A.B	<null>	adjective, 
lxx.A.D	<null>	adjective, Dat
lxx.A.DP	<null>	adjective, Dat Plur
lxx.A.DPF	<null>	adjective, Dat Plur Fem
lxx.A.DPFS	<null>	adjective, Dat Plur Fem Superlative
lxx.A.DPM	<null>	adjective, Dat Plur Masc
lxx.A.DPMC	<null>	adjective, Dat Plur Masc Compar
lxx.A.DPMS	<null>	adjective, Dat Plur Masc Superlative
lxx.A.DPN	<null>	adjective, Dat Plur Neut
lxx.A.DPNS	<null>	adjective, Dat Plur Neut Superlative
lxx.A.DS	<null>	adjective, Dat Sing
lxx.A.DSF	<null>	adjective, Dat Sing Fem
lxx.A.DSFC	<null>	adjective, Dat Sing Fem Compar
lxx.A.DSFS	<null>	adjective, Dat Sing Fem Superlative
lxx.A.DSM	<null>	adjective, Dat Sing Masc
lxx.A.DSMC	<null>	adjective, Dat Sing Masc Compar
lxx.A.DSMS	<null>	adjective, Dat Sing Masc Superlative
lxx.A.DSN	<null>	adjective, Dat Sing Neut
lxx.A.DSNS	<null>	adjective, Dat Sing Neut Superlative
lxx.A.GPF	<null>	adjective, Gen Plur Fem
lxx.A.GPFC	<null>	adjective, Gen Plur Fem Compar
lxx.A.GPFS	<null>	adjective, Gen Plur Fem Superlative
lxx.A.GPM	<null>	adjective, Gen Plur Masc
lxx.A.GPMC	<null>	adjective, Gen Plur Masc Compar
