G700001		ἆ	a	a	ah; alas!
G700002		αʹ	a	a	1; alpha
G700003		Ααλαφ	aalaph	aalaf	Aalaph; Aalaf
G700004		Ααρα	aara	aara	Aara
G700005		Ἀαρών	aarōn	aaron	Aarōn; Aaron
G700006		Ἀαρωνίδης	aarōnidēs	aaroniyðiys	Aarōnidēs; Aaronithis
G700007		Αβαδια	abadia	avaðiya	Abadia; Avathia
G700008		Αβαδιας	abadias	avaðiyas	Abadias; Avathias
G700009		Αβαδων	abadōn	avaðon	Abadōn; Avathon
G700010		Αβαιαν	abaian	avean	Abaian; Avean
G700011		Αβαισαν	abaisan	avesan	Abaisan; Avesan
G700012		αβακ	abak	avak	byssus; fine white linen
G700013		Αβαλ	abal	aval	Abal; Aval
G700014		Αβαμα	abama	avama	Abama; Avama
G700015		Αβανα	abana	avana	Abana; Avana
G700016		Αβαρ	abar	avar	Abar; Avar
G700017		Αβαραν	abaran	avaran	Abaran; Avaran
G700018		Αβαριμ	abarim	avariym	Abarim; Avarim
G700019		Αβαριν	abarin	avariyn	Abarin; Avarin
G700020		αβαρκηνιν	abarkēnin	avarkiyniyn	he thorn bushes
G700021		ἀβασίλευτος	abasileutos	avasiyleftos	without a king
G700022		Αβαταζα	abataza	avataza	Abataza; Avataza
G700023		ἄβατος	abatos	avatos	untrodden; impassable
G700024		ἀβατόω	abatoō	avatoo	untrodden; inaccessible
G700025		Ἀββᾶ	abba	avva	Abba; Avva
G700026		Αβδεδομ	abdedom	avðeðom	Abdedom; Avthethom
G700027		Αβδεμελεχ	abdemelech	avðemelekh	Abdemelech; Avthemelekh
G700028		Αβδεναγω	abdenagō	avðenago	Abdenagō; Avthenago
G700029		Αβδησελμα	abdēselma	avðiyselma	Abdēselma; Avthiselma
G700030		Αβδι	abdi	avðiy	Abdi; Avthi
G700031		Αβδια	abdia	avðiya	Abdia; Avthia
G700032		Αβδιας	abdias	avðiyas	Abdias; Avthias
G700033		Αβδιηλ	abdiēl	avðiyiyl	Abdiēl; Avthil
G700034		Αβδιου	abdiou	avðiyu	Abdiou; Avthiu
G700035		Αβδων	abdōn	avðon	Abdōn; Avthon
G700036		Αβεδ	abed	aveð	Abed; Aveth
G700037		Αβεδδαρα	abeddara	aveððara	Abeddara; Aveththara
