『α.1』	I
『αʹ』	M
『ααλαφ』	N
『ααρα』	N
『ααρων』	N
『ααρωνιδης』	N
『αβαδια』	N
『αβαδιας』	N
『αβαδων』	N
『αβαιαν』	N
『αβαισαν』	N
『αβακ』	N
『αβαλ』	N
『αβαμα』	N
『αβανα』	N
『αβαρ』	N
『αβαραν』	N
『αβαριμ』	N
『αβαριν』	N
『αβαρκηνιν』	N
『αβασιλευτος』	A
『αβαταζα』	N
『αβατος』	A
『αβατοω』	V
『αββα』	N
『αβδεδομ』	N
『αβδεμελεχ』	N
『αβδεναγω』	N
『αβδησελμα』	N
『αβδι』	N
『αβδια』	N
『αβδιας』	N
『αβδιηλ』	N
『αβδιου』	N
『αβδων』	N
『αβεδ』	N
『αβεδδαρα』	N
『αβεδδαραμ』	N
『αβεδηριν』	N
『αβελ』	N
『αβελβαιθαμααχα』	N
『αβελμαα』	N
『αβελμαιν』	N
『αβελμαουλα』	N
『αβελμεουλα』	N
『αβενεζερ』	N
『αβεννεζερ』	N
『αβεννερ』	N
『αβεννηρ』	N
『αβερ』	N
『αβεσσα』	N
『αβεσσαλωμ』	N
『αβι』	N
『αβια』	N
『αβιαθαρ』	N
『αβιασαφ』	N
『αβιγαια』	N
『αβιγαιαν』	N
『αβιγαιας』	N
『αβιδα』	N
『αβιδαν』	N
『αβιεζεκ』	N
『αβιεζερ』	N
『αβιεζρι』	N
『αβιεσδρι』	N
『αβιηλ』	N
『αβιμεηλ』	N
『αβιμελεχ』	N
『αβινεεμ』	N
『αβιου』	N
『αβιουδ』	N
『αβιρα.1』	N
『αβιρα』	N
『αβιρων』	N
『αβισακ』	N
『αβισου』	N
『αβισουε』	N
『αβισουρ』	N
『αβιταλ』	N
『αβιτωβ』	N
『αβιχαιλ』	N
『αβλαβης』	A
『αβοηθησια』	N
『αβοηθητος』	A
『αβου』	N
『αβουβος』	N
『αβουλευτως』	D
『αβουλεω』	V
『αβουλια』	N
『αβρα』	A
『αβρα』	N
『αβρααμ』	N
『αβρααμιτις』	N
『αβραμ』	N
『αβραμιαιος』	A
『αβροχια』	N
『αβρωνα』	N
『αβρωτος』	A
『αβυσσος』	N
『αβωμεουλα』	N
『αβωρ』	N
『αγαβ』	N
『αγαβα』	N
『αγαγ』	N
『αγαθοποιεω』	V
『αγαθοποιος』	A
『αγαθος』	A
『αγαθοτης』	N
『αγαθοω』	V
『αγαθυνω』	V
『αγαθως』	D
『αγαθωσυνη』	N
『αγαλλιαμα』	N
『αγαλλιασις』	N
『αγαλλιαω』	V
